rel,head-pos,child-pos	tree-label	gold-label
comp:pred,AUX,VERB	NA	req-agree
det,NOUN,PRON	NA	NA
udep,VERB,NOUN	NA	NA
mod,VERB,VERB	NA	NA
comp:obl,VERB,PRON	NA	NA
conj,VERB,VERB	NA	NA
unk@expl,VERB,PRON	NA	NA
udep,VERB,PRON	NA	NA
comp:obj,VERB,NOUN	NA	NA
mod,NOUN,NOUN	NA	NA
mod,NOUN,ADJ	NA	req-agree
subj,AUX,PRON	NA	req-agree
mod,NOUN,AUX	NA	NA
comp:obl,VERB,NOUN	NA	NA
vocative,VERB,NOUN	NA	NA
comp:obj,VERB,ADJ	NA	NA
comp:obj,VERB,PRON	NA	NA
mod,VERB,ADJ	NA	req-agree
subj,VERB,VERB	NA	req-agree
comp:pred,AUX,NOUN	NA	req-agree
subj,VERB,NOUN	NA	req-agree
mod,NOUN,VERB	NA	NA
unk,VERB,NOUN	NA	req-agree
subj,VERB,PRON	NA	req-agree
comp:pred,AUX,ADJ	NA	req-agree
mod,VERB,AUX	NA	NA
appos,NOUN,AUX	NA	req-agree
mod,ADJ,VERB	NA	NA
subj,AUX,ADJ	NA	req-agree
conj,NOUN,NOUN	NA	NA
subj,ADJ,NOUN	NA	req-agree
conj,ADJ,ADJ	NA	NA
subj,AUX,VERB	NA	req-agree
mod,PRON,VERB	NA	NA
appos,NOUN,NOUN	NA	req-agree
conj,VERB,NOUN	NA	NA
udep,VERB,ADJ	NA	NA
subj,VERB,ADJ	NA	req-agree
det,NOUN,DET	NA	req-agree
vocative,VERB,VERB	NA	req-agree
dislocated,VERB,ADJ	NA	req-agree
conj,VERB,AUX	NA	req-agree
subj,AUX,NOUN	NA	req-agree
mod,AUX,VERB	NA	NA
subj,VERB,PROPN	NA	req-agree
comp:obj,AUX,VERB	NA	NA
mod,NOUN,PRON	NA	NA
comp:obl,VERB,ADJ	NA	NA
appos,PRON,PROPN	NA	req-agree
vocative,AUX,NOUN	NA	NA
parataxis,VERB,VERB	NA	NA
conj,PROPN,PROPN	NA	req-agree
subj@pass,AUX,NOUN	NA	req-agree
comp:obl,AUX,PRON	NA	NA
comp:pred,VERB,ADJ	NA	NA
comp:pred,VERB,VERB	NA	NA
comp:obl@agent,VERB,NOUN	NA	req-agree
mod,ADJ,ADJ	NA	req-agree
det,ADJ,DET	NA	req-agree
appos,NOUN,PROPN	NA	NA
orphan,NOUN,NOUN	NA	req-agree
conj,NOUN,VERB	NA	NA
udep,AUX,PRON	NA	NA
vocative,AUX,ADJ	NA	NA
