rel,head-pos,child-pos	tree-label	gold-label
mod@gsubj,NOUN,PROPN	req-agree	NA
subj@cop,AUX,NOUN	req-agree	NA
mod,NOUN,ADJ	req-agree	req-agree
mod,NOUN,NOUN	NA	NA
udep,ADJ,NOUN	NA	NA
comp:pred,AUX,ADJ	req-agree	req-agree
mod@poss,NOUN,PROPN	req-agree	NA
compound@nn,PROPN,NOUN	req-agree	req-agree
subj,VERB,PROPN	req-agree	req-agree
flat@name,PROPN,PROPN	req-agree	req-agree
parataxis,AUX,VERB	NA	NA
udep,VERB,NOUN	NA	NA
udep,VERB,PRON	NA	NA
subj,VERB,PRON	req-agree	req-agree
mod@relcl,PRON,VERB	NA	req-agree
mod@poss,NOUN,NOUN	req-agree	NA
comp:obj,VERB,NOUN	NA	NA
comp:pred,VERB,ADJ	req-agree	NA
mod,VERB,VERB	req-agree	NA
mod,NOUN,VERB	req-agree	NA
mod@gobj,NOUN,NOUN	NA	NA
subj,VERB,NOUN	req-agree	NA
udep,VERB,VERB	NA	NA
comp:obj,VERB,PRON	req-agree	NA
mod@poss,NOUN,PRON	NA	NA
compound@nn,NOUN,PROPN	req-agree	NA
conj,VERB,VERB	req-agree	NA
subj@cop,AUX,PRON	req-agree	req-agree
conj,VERB,AUX	req-agree	NA
comp:pred,AUX,NOUN	req-agree	NA
det,NOUN,PRON	req-agree	req-agree
udep,AUX,NOUN	NA	NA
parataxis,VERB,AUX	NA	NA
comp:aux@pass,AUX,VERB	req-agree	NA
mod,NOUN,PROPN	NA	NA
conj,PROPN,NOUN	NA	NA
conj,NOUN,NOUN	req-agree	NA
mod@poss,PROPN,PROPN	req-agree	NA
mod,PROPN,VERB	req-agree	req-agree
mod,PROPN,ADJ	req-agree	req-agree
conj,AUX,ADJ	req-agree	req-agree
mod@gobj,NOUN,PROPN	NA	NA
mod,NOUN,NUM	req-agree	req-agree
comp:pred@own,AUX,PRON	NA	NA
conj,PRON,VERB	req-agree	req-agree
subj,AUX,NOUN	req-agree	NA
comp:aux,AUX,VERB	req-agree	NA
mod,AUX,VERB	req-agree	NA
parataxis,AUX,AUX	NA	req-agree
conj,AUX,VERB	req-agree	NA
subj@cop,AUX,PROPN	req-agree	req-agree
mod@relcl,NOUN,VERB	NA	NA
subj,AUX,PRON	req-agree	NA
comp:obj,VERB,PROPN	req-agree	NA
comp:obj@x,VERB,VERB	req-agree	NA
appos,NOUN,PROPN	req-agree	NA
parataxis,VERB,VERB	NA	NA
mod@poss,ADJ,PRON	NA	NA
mod,PRON,NOUN	NA	NA
conj,VERB,NUM	req-agree	req-agree
mod,NUM,NOUN	NA	NA
parataxis,AUX,PROPN	NA	req-agree
mod,VERB,NOUN	NA	NA
compound@nn,NOUN,NOUN	NA	NA
mod@poss,ADJ,PROPN	NA	NA
conj,PROPN,PROPN	req-agree	NA
conj,AUX,AUX	req-agree	NA
mod@gsubj,NOUN,NOUN	NA	NA
subj,AUX,PROPN	req-agree	NA
det,ADJ,PRON	req-agree	req-agree
mod,ADJ,ADJ	NA	req-agree
comp:obj,VERB,ADJ	req-agree	NA
udep,VERB,PROPN	req-agree	NA
subj@cop,AUX,VERB	req-agree	req-agree
comp:obj,VERB,VERB	NA	NA
comp:obj,AUX,NOUN	req-agree	NA
comp:pred,AUX,PRON	req-agree	req-agree
udep,AUX,PROPN	NA	NA
mod@poss,ADJ,NOUN	NA	NA
udep,NOUN,PROPN	NA	req-agree
punct,VERB,PUNCT	req-agree	req-agree
flat,NOUN,NOUN	NA	req-agree
det,PRON,PRON	req-agree	req-agree
conj,PROPN,PRON	req-agree	req-agree
udep,VERB,SYM	NA	NA
comp:aux,AUX,AUX	req-agree	req-agree
comp:obj,VERB,AUX	req-agree	NA
vocative,VERB,NOUN	NA	req-agree
mod@relcl,PROPN,AUX	NA	NA
comp:pred,AUX,PROPN	req-agree	NA
comp:pred,VERB,AUX	req-agree	NA
comp:pred@own,AUX,NOUN	NA	NA
conj,NOUN,VERB	req-agree	NA
appos,NOUN,NOUN	req-agree	NA
mod@relcl,NOUN,AUX	NA	NA
flat@name,NOUN,PROPN	req-agree	req-agree
udep,NOUN,NOUN	NA	NA
comp:pred,AUX,VERB	req-agree	req-agree
comp:pred@own,AUX,PROPN	NA	req-agree
conj,ADJ,ADJ	req-agree	req-agree
comp:obj@x,ADJ,VERB	req-agree	NA
mod@gsubj,VERB,PROPN	req-agree	req-agree
udep,AUX,PRON	NA	NA
mod,PROPN,NOUN	NA	NA
comp:pred,VERB,NOUN	NA	NA
conj,NOUN,AUX	req-agree	NA
mod,ADJ,NOUN	NA	NA
mod@relcl,VERB,AUX	NA	NA
mod@relcl,PROPN,VERB	NA	NA
udep,ADJ,PRON	NA	req-agree
conj,VERB,ADJ	req-agree	req-agree
mod@relcl,ADJ,VERB	NA	NA
mod,PROPN,PROPN	req-agree	req-agree
subj@cop,ADJ,NOUN	NA	req-agree
subj,VERB,ADJ	req-agree	req-agree
udep,VERB,NUM	NA	req-agree
conj,ADJ,NOUN	NA	req-agree
mod,ADJ,PRON	NA	NA
comp:pred,VERB,VERB	req-agree	NA
comp:pred@ds,VERB,VERB	req-agree	NA
mod,NOUN,PRON	NA	NA
conj,PROPN,AUX	req-agree	NA
parataxis,NOUN,AUX	NA	req-agree
conj,AUX,PRON	req-agree	req-agree
mod,AUX,PRON	NA	req-agree
comp:aux,AUX,ADJ	req-agree	req-agree
conj,PRON,NOUN	NA	req-agree
subj@cop,AUX,ADJ	req-agree	req-agree
parataxis,NOUN,VERB	NA	req-agree
mod,PRON,PRON	NA	NA
mod@poss,PROPN,NOUN	NA	NA
subj@cop,AUX,NUM	req-agree	req-agree
conj,PRON,AUX	req-agree	NA
udep,NOUN,PRON	NA	NA
mod@poss,NOUN,VERB	NA	req-agree
conj,PROPN,VERB	req-agree	req-agree
udep,AUX,ADJ	NA	req-agree
appos,PROPN,NOUN	NA	req-agree
mod@poss,NOUN,SYM	NA	req-agree
compound,NUM,NUM	req-agree	req-agree
conj,ADJ,AUX	req-agree	req-agree
comp:pred@ds,VERB,NOUN	NA	NA
comp:pred,VERB,PRON	req-agree	NA
comp:obj@x,VERB,AUX	req-agree	req-agree
mod@relcl,PRON,AUX	NA	NA
parataxis,VERB,NOUN	NA	NA
subj,AUX,NUM	req-agree	req-agree
mod@gsubj,NOUN,PRON	req-agree	NA
comp:obj,VERB,NUM	NA	req-agree
conj,VERB,PROPN	req-agree	req-agree
conj,AUX,NOUN	req-agree	NA
subj,VERB,NUM	req-agree	req-agree
mod,NUM,NUM	NA	req-agree
comp:obj,PRON,AUX	req-agree	NA
conj,ADJ,VERB	req-agree	req-agree
comp:obj,AUX,VERB	NA	req-agree
comp:aux,AUX,NOUN	NA	NA
comp:pred@ds,VERB,ADJ	req-agree	NA
comp:obj,PRON,VERB	NA	NA
appos,PROPN,PROPN	req-agree	NA
mod,VERB,AUX	req-agree	NA
comp:pred,AUX,NUM	req-agree	req-agree
comp:pred,NOUN,ADJ	req-agree	req-agree
comp:obj@x,NOUN,VERB	req-agree	req-agree
comp:pred@ds,AUX,PRON	req-agree	req-agree
comp:obj,AUX,PRON	NA	req-agree
appos,NUM,PROPN	req-agree	req-agree
orphan,PROPN,NOUN	NA	req-agree
comp:obj,NOUN,VERB	NA	NA
orphan,NOUN,PROPN	req-agree	req-agree
comp:obj,NOUN,AUX	req-agree	req-agree
comp:pred,AUX,AUX	req-agree	req-agree
udep,VERB,ADJ	NA	NA
mod@relcl,ADJ,AUX	NA	req-agree
mod@relcl,NUM,VERB	NA	req-agree
conj,NOUN,ADJ	req-agree	req-agree
mod,ADJ,VERB	NA	req-agree
mod,VERB,PRON	NA	req-agree
unk@fixed,PRON,NOUN	NA	req-agree
mod@relcl,VERB,VERB	NA	req-agree
mod,PRON,NUM	NA	req-agree
conj,VERB,NOUN	NA	NA
det,NUM,PRON	req-agree	NA
mod,ADJ,NUM	NA	req-agree
det,VERB,PRON	req-agree	NA
subj,AUX,VERB	req-agree	req-agree
conj,NOUN,PROPN	req-agree	NA
mod@poss,ADJ,ADJ	NA	req-agree
compound@prt,VERB,NOUN	NA	req-agree
parataxis,AUX,NOUN	req-agree	req-agree
comp:pred@own,AUX,VERB	NA	NA
mod@gobj,NOUN,PRON	NA	req-agree
conj,NUM,NUM	req-agree	req-agree
flat@foreign,NOUN,NUM	req-agree	req-agree
mod@poss,VERB,PRON	NA	NA
mod,NUM,VERB	NA	NA
comp:aux@pass,AUX,AUX	req-agree	req-agree
mod@poss,NOUN,ADJ	NA	NA
mod@relcl,PRON,PRON	NA	req-agree
parataxis,NOUN,NOUN	NA	NA
