rel,head-pos,child-pos	tree-label	gold-label
comp:pred,AUX,AUX	NA	NA
parataxis,VERB,VERB	NA	NA
mod,NOUN,ADJ	NA	req-agree
mod,NOUN,VERB	NA	NA
subj,AUX,NOUN	NA	NA
compound@smixut,NOUN,NOUN	NA	NA
subj,VERB,NOUN	NA	NA
conj,VERB,VERB	NA	NA
comp:pred,AUX,VERB	NA	NA
subj,VERB,PRON	NA	NA
comp:pred,VERB,ADJ	NA	NA
comp:obj,VERB,PRON	NA	req-agree
conj,NOUN,NOUN	NA	NA
det,NOUN,NOUN	NA	NA
mod,NOUN,NUM	NA	req-agree
comp:obj,VERB,NOUN	NA	NA
unk,VERB,NOUN	NA	NA
unk,NOUN,NOUN	NA	NA
det,NOUN,PRON	NA	NA
conj,VERB,AUX	NA	NA
mod,NOUN,NOUN	NA	NA
comp:pred,AUX,NOUN	NA	NA
subj,VERB,NUM	NA	NA
subj,NOUN,PRON	NA	req-agree
flat@name,NOUN,NOUN	NA	req-agree
comp:pred,AUX,ADJ	NA	NA
conj,AUX,VERB	NA	NA
subj@cop,AUX,NOUN	NA	req-agree
subj,ADJ,NOUN	NA	req-agree
mod,AUX,VERB	NA	req-agree
conj,VERB,NOUN	NA	NA
unk,AUX,NOUN	NA	req-agree
mod,VERB,VERB	NA	NA
mod,NUM,NUM	NA	req-agree
unk,VERB,VERB	NA	NA
conj,AUX,AUX	NA	NA
appos,NOUN,NOUN	NA	NA
mod,VERB,AUX	NA	NA
parataxis,VERB,NOUN	NA	NA
comp:obj,VERB,NUM	NA	NA
subj,AUX,PRON	NA	NA
conj,ADJ,ADJ	NA	req-agree
comp:obj,VERB,VERB	NA	req-agree
mod@relcl,NOUN,VERB	NA	NA
compound@smixut,VERB,NOUN	NA	NA
subj,VERB,VERB	NA	NA
det,NOUN,DET	NA	NA
subj,NOUN,NOUN	NA	NA
mod,NOUN,PRON	NA	req-agree
conj,NUM,NUM	NA	NA
parataxis,VERB,PRON	NA	NA
compound@smixut,ADJ,NOUN	NA	NA
unk,NOUN,AUX	NA	NA
det,NOUN,NUM	NA	req-agree
appos,NOUN,VERB	NA	NA
comp:aux,VERB,NOUN	NA	NA
unk,ADJ,ADJ	NA	req-agree
flat@name,NOUN,ADJ	NA	req-agree
unk,NOUN,ADJ	NA	NA
mod,AUX,AUX	NA	req-agree
mod,ADJ,AUX	NA	req-agree
comp:obj,NOUN,NOUN	NA	NA
subj,ADJ,PRON	NA	req-agree
conj,ADJ,VERB	NA	req-agree
unk,NOUN,NUM	NA	req-agree
appos,NUM,NUM	NA	req-agree
unk,NOUN,VERB	NA	NA
conj,NOUN,AUX	NA	NA
udep,AUX,NOUN	NA	NA
unk@fixed,NOUN,PRON	NA	req-agree
compound@smixut,NOUN,PRON	NA	NA
comp:obj,AUX,NOUN	NA	req-agree
conj,VERB,ADJ	NA	req-agree
compound@smixut,NOUN,VERB	NA	NA
mod,VERB,ADJ	NA	req-agree
unk,ADJ,NUM	NA	req-agree
conj,PRON,ADJ	NA	req-agree
mod,VERB,NOUN	NA	NA
udep,AUX,ADJ	NA	req-agree
unk,ADJ,NOUN	NA	req-agree
det,NOUN,ADJ	NA	req-agree
mod@poss,NOUN,PRON	NA	NA
subj,ADJ,VERB	NA	req-agree
unk,VERB,ADJ	NA	NA
subj,VERB,ADJ	NA	NA
udep,AUX,VERB	NA	NA
parataxis,VERB,ADJ	NA	NA
