rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,ADJ	req-agree	req-agree
conj,NOUN,NOUN	req-agree	NA
det,PROPN,DET	req-agree	req-agree
mod,NOUN,PROPN	req-agree	NA
flat,PROPN,PROPN	req-agree	req-agree
appos,PROPN,NOUN	req-agree	req-agree
det,NOUN,DET	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
det,PRON,DET	req-agree	NA
mod,NOUN,PRON	NA	NA
compound,PRON,DET	req-agree	req-agree
appos,PRON,PROPN	req-agree	NA
mod,NOUN,NUM	req-agree	NA
mod,NOUN,NOUN	NA	NA
appos,NOUN,PROPN	req-agree	req-agree
appos,PRON,NOUN	req-agree	req-agree
mod,ADJ,ADJ	req-agree	req-agree
mod,PROPN,ADJ	req-agree	req-agree
det,ADJ,DET	req-agree	req-agree
comp:obj,VERB,NOUN	req-agree	NA
mod,NOUN,VERB	NA	NA
comp:obl,VERB,PRON	req-agree	NA
subj,VERB,NOUN	req-agree	NA
vocative,VERB,NOUN	req-agree	NA
subj@pass,AUX,PRON	req-agree	NA
mod,NOUN,AUX	NA	NA
comp:aux@pass,AUX,NOUN	req-agree	req-agree
conj,AUX,AUX	NA	NA
parataxis,AUX,NOUN	NA	NA
comp:pred,AUX,NOUN	req-agree	NA
conj,NOUN,AUX	NA	NA
subj,AUX,PROPN	req-agree	NA
conj,VERB,VERB	req-agree	NA
subj,AUX,PRON	req-agree	NA
subj,VERB,PROPN	req-agree	req-agree
mod,VERB,AUX	NA	req-agree
subj@pass,AUX,NOUN	req-agree	NA
comp:obl,VERB,NOUN	NA	NA
comp:obl,VERB,AUX	NA	NA
comp:obj,VERB,PRON	NA	NA
comp:pred,AUX,PRON	req-agree	NA
conj,VERB,AUX	NA	NA
subj,AUX,NOUN	req-agree	NA
mod,PROPN,NOUN	NA	NA
comp:pred,VERB,ADJ	req-agree	NA
parataxis,VERB,PROPN	req-agree	NA
mod@pmod,VERB,PROPN	req-agree	NA
det,NUM,DET	req-agree	NA
conj,AUX,VERB	req-agree	NA
udep,VERB,NOUN	req-agree	NA
comp:pred,AUX,ADJ	req-agree	NA
parataxis,VERB,AUX	req-agree	NA
comp:obl,ADJ,NOUN	NA	NA
unk@expl,AUX,PRON	req-agree	NA
conj,ADJ,AUX	NA	NA
comp:obl,ADJ,PRON	NA	NA
mod,AUX,AUX	NA	NA
comp:pred,VERB,NOUN	req-agree	NA
appos,VERB,AUX	NA	NA
mod,AUX,VERB	NA	NA
det,PROPN,PRON	req-agree	req-agree
appos,NOUN,NOUN	req-agree	NA
appos,NOUN,AUX	NA	NA
conj,PROPN,PROPN	req-agree	req-agree
comp:aux@pass,AUX,VERB	req-agree	NA
udep,AUX,PROPN	req-agree	req-agree
mod,VERB,VERB	NA	NA
flat,PROPN,NOUN	req-agree	req-agree
mod@tcl,AUX,VERB	NA	NA
comp:obj,VERB,PROPN	NA	req-agree
mod,PRON,VERB	NA	NA
subj@pass,AUX,PROPN	req-agree	NA
udep,AUX,NOUN	req-agree	NA
subj,VERB,PRON	req-agree	NA
conj,VERB,PROPN	req-agree	req-agree
conj,PROPN,NOUN	req-agree	NA
subj@pass,VERB,NOUN	req-agree	NA
mod,PROPN,VERB	NA	NA
conj,NOUN,ADJ	req-agree	req-agree
conj,ADJ,VERB	req-agree	req-agree
flat,NOUN,PROPN	req-agree	req-agree
mod@tcl,AUX,AUX	req-agree	NA
mod,PRON,AUX	NA	NA
mod,PRON,ADJ	req-agree	req-agree
mod,PROPN,AUX	NA	NA
comp:aux,AUX,VERB	req-agree	NA
conj,PRON,PRON	req-agree	req-agree
subj,VERB,AUX	NA	req-agree
conj,NOUN,PRON	req-agree	req-agree
unk@expl,VERB,PRON	req-agree	NA
compound,VERB,NOUN	req-agree	NA
mod,DET,VERB	NA	req-agree
comp:obj,VERB,AUX	NA	NA
mod@tmod,VERB,NUM	NA	NA
mod@tmod,PROPN,NUM	req-agree	NA
comp:pred,AUX,PROPN	req-agree	req-agree
mod@tmod,NOUN,NUM	req-agree	req-agree
comp:obl,VERB,PROPN	NA	NA
mod@tcl,VERB,VERB	req-agree	NA
subj@pass,AUX,VERB	req-agree	NA
mod,VERB,ADJ	req-agree	NA
comp:obl,NOUN,PRON	NA	NA
subj,AUX,VERB	req-agree	NA
mod,PROPN,NUM	req-agree	req-agree
comp:pred,VERB,PROPN	req-agree	NA
mod@tmod,PRON,NOUN	req-agree	req-agree
subj,AUX,NUM	req-agree	req-agree
appos,NUM,PROPN	req-agree	NA
mod,PRON,NUM	req-agree	req-agree
comp:obl,PROPN,PROPN	NA	req-agree
appos,VERB,PROPN	req-agree	NA
comp:obj,VERB,ADJ	NA	req-agree
conj,ADJ,PROPN	req-agree	req-agree
conj,PROPN,PRON	req-agree	NA
mod,PROPN,PROPN	req-agree	req-agree
discourse,VERB,NUM	NA	NA
comp:pred,AUX,DET	req-agree	NA
discourse,AUX,NUM	NA	req-agree
vocative,VERB,PROPN	req-agree	req-agree
appos,PROPN,PROPN	req-agree	req-agree
