rel,head-pos,child-pos	tree-label	gold-label
mod@poss,NOUN,PRON	NA	NA
compound,NOUN,PROPN	req-agree	NA
compound,NOUN,NOUN	req-agree	NA
clf,NOUN,NOUN	NA	req-agree
udep@tmod,VERB,NOUN	NA	NA
subj,VERB,PRON	req-agree	req-agree
comp:obj,VERB,NOUN	NA	NA
comp:obj,VERB,PRON	req-agree	NA
flat,PROPN,PROPN	req-agree	req-agree
mod@poss,ADJ,PRON	NA	NA
subj,VERB,ADJ	req-agree	NA
comp:obj,VERB,ADJ	req-agree	req-agree
pd,AUX,NOUN	req-agree	req-agree
det,NOUN,DET	req-agree	NA
subj,AUX,NOUN	req-agree	req-agree
compound,PROPN,NOUN	req-agree	req-agree
subj,AUX,PRON	req-agree	req-agree
parataxis,AUX,AUX	req-agree	req-agree
pd,AUX,PRON	req-agree	req-agree
conj,PRON,PRON	NA	NA
subj,VERB,NOUN	NA	NA
mod,NOUN,NOUN	req-agree	NA
subj,NOUN,VERB	req-agree	req-agree
conj,NOUN,NOUN	req-agree	NA
appos,NOUN,NOUN	req-agree	NA
conj,NOUN,PROPN	req-agree	NA
subj,ADJ,NOUN	NA	NA
conj,VERB,VERB	req-agree	req-agree
subj,AUX,AUX	req-agree	req-agree
mod,NOUN,ADJ	req-agree	NA
mod,NOUN,PART	NA	NA
conj:emb,AUX,AUX	req-agree	req-agree
conj,AUX,AUX	req-agree	req-agree
compound,NOUN,ADJ	req-agree	NA
flat,PRON,PROPN	req-agree	NA
subj,VERB,AUX	req-agree	req-agree
unk@expl,AUX,PRON	req-agree	req-agree
det,NOUN,PRON	NA	NA
conj,VERB,NOUN	NA	NA
subj,VERB,PROPN	req-agree	NA
comp:pred,AUX,NOUN	req-agree	req-agree
flat,NOUN,PROPN	req-agree	req-agree
parataxis,VERB,VERB	req-agree	req-agree
compound,PART,NOUN	NA	NA
subj,AUX,PROPN	req-agree	req-agree
pd,AUX,PROPN	req-agree	req-agree
conj:emb,NOUN,NOUN	NA	NA
compound,NOUN,X	req-agree	NA
udep@tmod,AUX,NOUN	req-agree	NA
compound,PROPN,PROPN	req-agree	req-agree
pd,AUX,ADJ	NA	req-agree
conj:emb,PROPN,PROPN	req-agree	req-agree
mod,PRON,PRON	NA	NA
subj,AUX,ADJ	NA	NA
appos,NOUN,ADV	req-agree	req-agree
comp:pred,AUX,AUX	req-agree	req-agree
pd,AUX,AUX	req-agree	req-agree
mod,NOUN,PROPN	req-agree	NA
compound,VERB,NOUN	NA	NA
udep,VERB,NOUN	NA	NA
conj,PROPN,PROPN	req-agree	req-agree
case,AUX,PROPN	req-agree	req-agree
case,AUX,NOUN	req-agree	req-agree
pd,AUX,PART	req-agree	NA
unk@expl,VERB,PRON	req-agree	req-agree
conj,ADJ,ADJ	NA	req-agree
parataxis,VERB,PROPN	NA	NA
appos,NOUN,PROPN	req-agree	NA
det,NOUN,PART	NA	NA
comp:obj,AUX,NOUN	req-agree	NA
mod@relcl,NOUN,AUX	req-agree	NA
subj@pass,AUX,PROPN	req-agree	req-agree
compound,PROPN,ADJ	req-agree	NA
mod@relcl,NOUN,VERB	req-agree	NA
mod@relcl,PRON,VERB	req-agree	NA
subj,VERB,ADV	req-agree	NA
comp:obj,VERB,VERB	req-agree	req-agree
det,NOUN,ADJ	req-agree	req-agree
det,PROPN,DET	req-agree	req-agree
conj,PROPN,NOUN	req-agree	NA
conj,NOUN,VERB	req-agree	NA
det,AUX,PRON	req-agree	NA
aux,AUX,VERB	req-agree	req-agree
parataxis,VERB,AUX	req-agree	req-agree
compound,NOUN,VERB	req-agree	NA
subj,NOUN,AUX	req-agree	req-agree
appos,NOUN,PART	NA	req-agree
comp:obj@dec,PART,PROPN	req-agree	NA
case,PRON,NOUN	NA	NA
subj,NOUN,PROPN	req-agree	req-agree
mod,PROPN,PART	NA	NA
aux,VERB,NOUN	NA	req-agree
flat,PROPN,NOUN	req-agree	req-agree
subj,ADJ,PROPN	NA	req-agree
comp:obj,PROPN,PROPN	req-agree	req-agree
aux,AUX,AUX	req-agree	req-agree
mod,VERB,AUX	req-agree	req-agree
comp:obj,AUX,PROPN	req-agree	req-agree
comp:obj,DET,NOUN	NA	req-agree
comp:obj,VERB,PROPN	req-agree	req-agree
flat@foreign,NOUN,PROPN	req-agree	req-agree
compound,NOUN,PART	NA	NA
conj,AUX,VERB	req-agree	NA
conj,NOUN,DET	req-agree	req-agree
mod,AUX,ADP	req-agree	NA
mark,ADP,AUX	NA	NA
punct,PROPN,PRON	NA	NA
mod@poss,VERB,PRON	req-agree	NA
subj,NOUN,NOUN	req-agree	NA
subj,PROPN,NOUN	req-agree	req-agree
comp:obj,PROPN,NOUN	req-agree	req-agree
appos,PROPN,NOUN	req-agree	req-agree
subj,VERB,VERB	req-agree	req-agree
comp:obj,VERB,PART	NA	req-agree
pd,VERB,PRON	req-agree	req-agree
comp:obj,VERB,AUX	req-agree	req-agree
udep,PRON,ADP	NA	NA
punct,AUX,AUX	req-agree	req-agree
mod,NOUN,VERB	req-agree	NA
subj,PRON,PRON	req-agree	req-agree
punct,PRON,PRON	NA	req-agree
conj,PRON,NOUN	NA	NA
subj@pass,AUX,PRON	req-agree	req-agree
compound,PART,PROPN	req-agree	req-agree
pd,VERB,NOUN	NA	NA
conj,NOUN,ADJ	req-agree	NA
mod@poss,AUX,PRON	req-agree	NA
conj,NOUN,AUX	req-agree	NA
pd,AUX,VERB	req-agree	NA
mod,VERB,ADJ	NA	req-agree
conj,NOUN,PART	NA	NA
comp:obj,NOUN,PROPN	req-agree	req-agree
case,NOUN,NOUN	NA	req-agree
case,NOUN,VERB	NA	req-agree
compound,X,NOUN	NA	req-agree
compound,NOUN,ADP	req-agree	NA
mod@poss,NOUN,PART	NA	NA
comp:pred,AUX,PROPN	req-agree	req-agree
conj,NOUN,PRON	NA	req-agree
pd,AUX,NUM	req-agree	req-agree
mod@relcl,NUM,VERB	req-agree	req-agree
mod,NOUN,X	NA	req-agree
compound,X,X	req-agree	req-agree
flat@name,PROPN,PROPN	req-agree	req-agree
compound,PROPN,NUM	req-agree	req-agree
subj@pass,AUX,NOUN	req-agree	req-agree
punct,VERB,AUX	req-agree	req-agree
conj,PROPN,PRON	NA	NA
det,NOUN,AUX	NA	req-agree
compound,AUX,PART	req-agree	req-agree
compound,PART,X	req-agree	req-agree
subj,PART,NOUN	NA	NA
mod,NOUN,AUX	req-agree	NA
subj,AUX,PART	req-agree	req-agree
appos,PART,PART	NA	req-agree
udep,NOUN,ADP	req-agree	NA
appos,PRON,NOUN	NA	NA
aux,VERB,AUX	req-agree	req-agree
flat@foreign,PROPN,PROPN	req-agree	req-agree
appos,PROPN,PROPN	req-agree	req-agree
comp:obj@dec,PART,NOUN	NA	NA
punct,NOUN,PART	NA	NA
det,PRON,PRON	NA	req-agree
comp:obj,AUX,AUX	req-agree	req-agree
compound,NOUN,NUM	NA	req-agree
mod,NUM,PROPN	req-agree	req-agree
parataxis,NOUN,AUX	req-agree	req-agree
appos,VERB,PROPN	req-agree	req-agree
det,NOUN,PROPN	req-agree	req-agree
mod,VERB,PRON	req-agree	req-agree
comp:obj,ADJ,VERB	NA	req-agree
mod@relcl,PROPN,VERB	req-agree	NA
conj,PUNCT,VERB	NA	req-agree
parataxis,PROPN,AUX	req-agree	req-agree
comp:obj@dec,PART,ADJ	NA	NA
compound,X,PROPN	NA	req-agree
pd,NOUN,NOUN	NA	req-agree
mod,ADJ,ADJ	NA	req-agree
mod,NOUN,NUM	req-agree	req-agree
compound,PART,PART	NA	req-agree
det,PRON,ADV	NA	req-agree
mod,AUX,ADV	req-agree	req-agree
comp:obj,AUX,PART	req-agree	req-agree
compound,NOUN,PUNCT	NA	req-agree
mod,PART,NOUN	NA	req-agree
conj:emb,VERB,VERB	req-agree	req-agree
det,PROPN,PROPN	req-agree	req-agree
parataxis,AUX,VERB	req-agree	req-agree
comp:obj@dec,ADP,NOUN	NA	NA
compound,PRON,AUX	NA	req-agree
aux@pass,AUX,VERB	req-agree	NA
udep@tmod,AUX,PROPN	req-agree	req-agree
subj,VERB,NUM	req-agree	req-agree
mod@relcl,NUM,AUX	req-agree	req-agree
conj,NOUN,X	NA	req-agree
pd,VERB,VERB	req-agree	req-agree
mod,VERB,PROPN	req-agree	req-agree
comp:obj,PRON,PRON	NA	req-agree
conj:emb,VERB,AUX	req-agree	req-agree
comp:obj,AUX,PRON	req-agree	req-agree
appos,NOUN,X	NA	req-agree
parataxis,PRON,AUX	req-agree	req-agree
mod,VERB,VERB	NA	req-agree
mod@poss,PRON,PRON	NA	req-agree
mod@poss,PROPN,PRON	NA	req-agree
conj,ADJ,NOUN	NA	req-agree
punct,NOUN,AUX	req-agree	req-agree
appos,PART,NOUN	NA	req-agree
mod,PART,ADJ	req-agree	NA
conj,PRON,VERB	NA	req-agree
mod,PROPN,NUM	req-agree	req-agree
mod,VERB,NOUN	NA	NA
mod,NOUN,DET	req-agree	req-agree
conj,AUX,ADJ	NA	req-agree
flat@foreign,X,NOUN	NA	req-agree
comp:obj,NOUN,NOUN	NA	NA
det,PART,PRON	NA	req-agree
xcomp,NOUN,VERB	NA	NA
conj:emb,X,PART	NA	req-agree
conj,VERB,AUX	req-agree	req-agree
aux,VERB,VERB	req-agree	req-agree
comp:obl,PRON,PRON	NA	req-agree
pd,NOUN,VERB	req-agree	req-agree
comp:obl,VERB,PROPN	req-agree	req-agree
pd,PRON,NOUN	NA	req-agree
mod,AUX,AUX	req-agree	req-agree
compound,NOUN,PRON	NA	req-agree
subj,PROPN,PROPN	req-agree	req-agree
appos,DET,PROPN	NA	NA
flat@foreign,NOUN,NOUN	NA	NA
clf,NOUN,PROPN	NA	req-agree
flat,PROPN,VERB	req-agree	req-agree
flat,PRON,PRON	NA	req-agree
parataxis,NOUN,VERB	NA	req-agree
punct,PROPN,PART	NA	NA
subj,AUX,DET	req-agree	req-agree
det,NOUN,NOUN	NA	req-agree
flat@foreign,PROPN,PART	NA	req-agree
subj,NOUN,PRON	NA	req-agree
conj,X,NOUN	NA	req-agree
pd,VERB,ADJ	req-agree	req-agree
compound,PROPN,X	req-agree	req-agree
compound,VERB,PROPN	req-agree	NA
subj,PRON,PROPN	req-agree	req-agree
comp:obj,VERB,X	req-agree	req-agree
mod@poss,NOUN,AUX	req-agree	req-agree
mod,X,X	NA	req-agree
comp:obj@dec,PRON,PRON	NA	NA
conj,PART,NOUN	NA	req-agree
flat,NOUN,X	NA	req-agree
conj:emb,X,NOUN	NA	NA
mod,PRON,VERB	NA	NA
xcomp,VERB,VERB	req-agree	req-agree
flat@foreign,NOUN,X	NA	req-agree
comp:obl,VERB,AUX	NA	req-agree
mark,AUX,AUX	req-agree	req-agree
flat@foreign,PROPN,X	req-agree	req-agree
flat,ADJ,PROPN	NA	req-agree
case,ADJ,NOUN	NA	NA
mod@relcl,VERB,AUX	req-agree	req-agree
comp:obl,VERB,PART	NA	req-agree
comp:obl,VERB,PRON	req-agree	NA
appos,X,NOUN	NA	req-agree
comp:obl,VERB,VERB	req-agree	req-agree
conj:emb,PRON,PRON	NA	req-agree
mod,NOUN,PRON	NA	NA
flat@foreign,PRON,PRON	NA	req-agree
subj,AUX,NUM	req-agree	req-agree
conj,VERB,X	req-agree	req-agree
aux,X,VERB	req-agree	req-agree
aux,PART,VERB	NA	req-agree
pd,AUX,X	req-agree	req-agree
mod,ADJ,PROPN	NA	req-agree
mod@relcl,PRON,AUX	NA	req-agree
parataxis,VERB,NOUN	NA	NA
compound,ADJ,NOUN	NA	NA
comp:obj,ADJ,NOUN	NA	NA
subj,PRON,NOUN	NA	req-agree
subj,AUX,X	req-agree	req-agree
conj,NOUN,NUM	NA	req-agree
conj,NUM,NOUN	NA	req-agree
flat@foreign,NOUN,AUX	NA	NA
mod,X,PROPN	req-agree	req-agree
compound,X,ADJ	NA	req-agree
flat,PROPN,ADJ	req-agree	req-agree
conj,ADJ,VERB	NA	req-agree
conj,NOUN,ADP	NA	req-agree
subj,X,NOUN	NA	req-agree
flat@foreign,VERB,PRON	req-agree	req-agree
appos,ADJ,NOUN	NA	req-agree
flat@foreign,NOUN,ADP	NA	req-agree
comp:obj,PRON,X	req-agree	req-agree
