rel,head-pos,child-pos	tree-label	gold-label
comp:aux,AUX,VERB	req-agree	NA
appos,NOUN,AUX	NA	NA
mod,NOUN,NOUN	req-agree	NA
subj,VERB,NOUN	req-agree	NA
conj,NOUN,NOUN	req-agree	NA
mod,NOUN,ADJ	req-agree	req-agree
comp:obj,VERB,NOUN	req-agree	NA
mod,NOUN,PROPN	NA	NA
unk,NOUN,NOUN	req-agree	NA
subj,VERB,DET	req-agree	NA
mod,NOUN,VERB	NA	NA
det,NOUN,DET	req-agree	req-agree
comp:obj,VERB,VERB	NA	NA
comp:aux@pass,AUX,ADJ	req-agree	NA
subj@pass,AUX,NOUN	NA	NA
subj,AUX,NOUN	req-agree	NA
comp:pred,AUX,ADJ	req-agree	NA
conj,AUX,AUX	NA	NA
comp:obj,VERB,DET	req-agree	NA
mod,DET,AUX	NA	NA
comp:obl@agent,ADJ,NOUN	NA	NA
conj,ADJ,ADJ	req-agree	req-agree
udep,ADJ,NOUN	NA	NA
unk,VERB,NOUN	NA	NA
udep,VERB,NOUN	NA	NA
conj,VERB,VERB	NA	NA
comp:obj,ADJ,NOUN	NA	NA
subj,AUX,ADJ	req-agree	req-agree
subj,VERB,ADJ	req-agree	NA
udep,AUX,NOUN	NA	NA
flat,PROPN,PROPN	req-agree	req-agree
appos,PROPN,NOUN	req-agree	req-agree
mod,NOUN,NUM	NA	req-agree
appos,NOUN,NOUN	req-agree	NA
mod@gov,NOUN,NUM	NA	NA
conj,ADJ,VERB	NA	NA
subj@pass,VERB,NOUN	NA	NA
subj,VERB,PROPN	req-agree	NA
mod,PROPN,PROPN	NA	NA
comp:obl,VERB,NOUN	NA	NA
comp:pred,AUX,NOUN	req-agree	NA
unk,VERB,ADJ	req-agree	NA
comp:pred,NOUN,ADJ	req-agree	NA
subj,VERB,PRON	req-agree	NA
udep,VERB,PRON	NA	NA
comp:pred,AUX,NUM	NA	req-agree
comp:obj,VERB,PRON	req-agree	NA
mod,DET,ADJ	req-agree	req-agree
comp:obj,NOUN,NOUN	req-agree	NA
subj,AUX,DET	req-agree	NA
subj@pass,VERB,NUM	NA	req-agree
appos,NUM,VERB	NA	NA
unk,PROPN,PROPN	NA	NA
udep,ADJ,NUM	NA	NA
mod,NOUN,AUX	NA	NA
conj,NOUN,DET	req-agree	NA
mod,DET,VERB	NA	NA
mod,PROPN,ADJ	req-agree	req-agree
comp:pred,AUX,DET	req-agree	NA
comp:obl,VERB,DET	req-agree	NA
appos,DET,NOUN	NA	req-agree
flat,NOUN,PROPN	req-agree	req-agree
conj,DET,ADJ	req-agree	req-agree
udep,VERB,DET	req-agree	NA
conj,PROPN,PROPN	NA	NA
comp:obj,VERB,PROPN	req-agree	NA
conj,AUX,VERB	NA	NA
mod,NUM,NOUN	NA	NA
comp:obj,ADJ,PRON	NA	NA
mod,NOUN,DET	req-agree	NA
subj,AUX,PRON	req-agree	req-agree
parataxis,VERB,VERB	NA	NA
subj@pass,VERB,DET	req-agree	req-agree
mod,VERB,VERB	NA	NA
appos,VERB,VERB	NA	NA
subj@pass,VERB,VERB	NA	NA
comp:obj,VERB,AUX	NA	NA
orphan,NOUN,NOUN	NA	NA
conj,VERB,AUX	NA	NA
mod,ADJ,VERB	NA	NA
comp:obj,VERB,NUM	NA	NA
compound,NUM,NUM	NA	NA
conj,PROPN,NOUN	NA	NA
conj,VERB,NOUN	NA	NA
comp:pred,VERB,ADJ	req-agree	NA
orphan,NOUN,VERB	NA	NA
subj@pass,AUX,DET	req-agree	NA
appos,NOUN,PROPN	NA	NA
det,ADJ,DET	req-agree	req-agree
comp:obl@agent,VERB,NOUN	NA	NA
unk,PROPN,NOUN	req-agree	NA
discourse,AUX,DET	req-agree	NA
comp:obl,VERB,PRON	NA	NA
mod,PROPN,NOUN	req-agree	NA
subj,NOUN,NOUN	req-agree	NA
mod,PROPN,AUX	NA	NA
unk,NOUN,ADJ	req-agree	NA
conj,NOUN,PROPN	NA	NA
conj,NUM,NUM	NA	NA
subj,AUX,PROPN	req-agree	NA
appos,NOUN,DET	NA	NA
udep,AUX,DET	req-agree	NA
udep,NOUN,NOUN	NA	NA
comp:pred,VERB,DET	req-agree	req-agree
udep,VERB,PROPN	NA	req-agree
conj,VERB,DET	req-agree	req-agree
orphan,DET,NOUN	NA	NA
appos,NOUN,VERB	NA	NA
conj,NOUN,AUX	NA	NA
comp:aux,AUX,ADJ	req-agree	req-agree
orphan,ADJ,ADJ	req-agree	req-agree
unk,DET,ADJ	req-agree	NA
conj,NOUN,PRON	NA	NA
comp:obl@agent,VERB,PRON	NA	req-agree
mod,NOUN,PRON	NA	NA
comp:pred,PRON,DET	req-agree	NA
conj,PROPN,ADJ	NA	NA
vocative,VERB,NOUN	NA	NA
conj,NOUN,NUM	NA	NA
comp:obj,ADJ,DET	NA	NA
comp:obj,VERB,ADJ	req-agree	NA
parataxis,VERB,AUX	NA	NA
comp:obl,VERB,ADJ	req-agree	NA
conj,NOUN,VERB	NA	NA
conj,NOUN,ADJ	req-agree	NA
unk@fixed,DET,VERB	NA	req-agree
conj,ADJ,NOUN	NA	NA
conj,AUX,NOUN	NA	NA
conj,VERB,ADJ	req-agree	NA
orphan,ADJ,NOUN	NA	NA
udep,ADJ,PRON	NA	NA
mod,NUM,NUM	NA	req-agree
subj,VERB,NUM	req-agree	NA
subj,VERB,VERB	req-agree	req-agree
mod,PRON,AUX	NA	req-agree
comp:pred,NOUN,DET	req-agree	req-agree
conj,DET,VERB	NA	req-agree
subj,AUX,NUM	req-agree	NA
orphan,PRON,PROPN	NA	req-agree
orphan,PRON,AUX	NA	NA
parataxis,AUX,VERB	NA	NA
conj,PROPN,AUX	NA	NA
det,DET,DET	req-agree	req-agree
unk,NOUN,PROPN	NA	NA
mod,NUM,ADJ	req-agree	NA
mod,ADJ,NOUN	NA	NA
comp:pred,VERB,NOUN	req-agree	req-agree
conj,DET,DET	req-agree	NA
subj@pass,VERB,PROPN	NA	req-agree
orphan,PROPN,PROPN	NA	req-agree
comp:obj,ADJ,PROPN	NA	NA
comp:obl,VERB,PROPN	NA	NA
mod,PROPN,VERB	NA	NA
mod,NUM,VERB	NA	NA
