rel,head-pos,child-pos	tree-label	gold-label
appos,NOUN,PROPN	req-agree	NA
mod,NOUN,ADJ	req-agree	req-agree
appos,NOUN,NOUN	req-agree	NA
comp:obj,VERB,NOUN	NA	NA
conj,VERB,VERB	req-agree	req-agree
det,PRON,DET	req-agree	req-agree
flat@name,PROPN,PROPN	req-agree	req-agree
appos,PROPN,NOUN	req-agree	NA
subj,AUX,PRON	req-agree	req-agree
comp:obj,VERB,PROPN	req-agree	req-agree
comp:aux,AUX,VERB	req-agree	req-agree
udep,VERB,PROPN	req-agree	req-agree
mod,NOUN,NUM	req-agree	req-agree
flat,NUM,NUM	NA	req-agree
mod,NUM,NOUN	req-agree	req-agree
det,NOUN,DET	req-agree	req-agree
subj,VERB,PRON	req-agree	req-agree
udep,VERB,NOUN	NA	NA
conj,NOUN,NOUN	NA	NA
subj,VERB,ADJ	req-agree	req-agree
comp:obj,VERB,PRON	req-agree	NA
udep,NOUN,NOUN	NA	NA
mod,ADJ,NOUN	NA	NA
mod,PROPN,ADJ	req-agree	req-agree
mod,NOUN,NOUN	req-agree	NA
appos,PRON,NOUN	req-agree	NA
appos,PRON,PROPN	req-agree	req-agree
appos,PRON,ADJ	req-agree	req-agree
vocative,PRON,NOUN	NA	req-agree
det,NOUN,PRON	req-agree	NA
mod,PRON,ADJ	req-agree	req-agree
flat,DET,ADJ	req-agree	req-agree
appos,ADJ,PROPN	req-agree	NA
subj,VERB,NOUN	req-agree	NA
conj,PROPN,PROPN	req-agree	NA
det,ADJ,DET	req-agree	req-agree
subj,VERB,PROPN	req-agree	req-agree
flat,ADJ,ADJ	req-agree	req-agree
mod,NOUN,PROPN	NA	NA
conj,PROPN,NOUN	NA	NA
conj,NOUN,PROPN	NA	NA
conj,PROPN,ADJ	req-agree	NA
comp:obj,VERB,ADJ	NA	NA
conj,NOUN,ADJ	req-agree	NA
comp:obl,VERB,PRON	req-agree	NA
dislocated,NOUN,PROPN	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
comp:obl@agent,VERB,NOUN	NA	NA
subj,PROPN,PROPN	req-agree	req-agree
mod,ADJ,ADJ	req-agree	NA
subj,NOUN,PRON	NA	req-agree
appos,ADJ,NOUN	req-agree	NA
mod,PRON,NOUN	NA	NA
mod,NUM,NUM	NA	req-agree
mod,VERB,VERB	req-agree	req-agree
det,PROPN,DET	req-agree	req-agree
orphan,NOUN,PROPN	req-agree	NA
comp:obl,VERB,NOUN	NA	NA
mod,PROPN,VERB	req-agree	NA
mod,NOUN,VERB	req-agree	NA
comp:obl,VERB,PROPN	req-agree	NA
comp:pred,VERB,PROPN	req-agree	NA
comp:pred,VERB,ADJ	req-agree	NA
subj,NOUN,ADJ	req-agree	NA
subj,PROPN,NOUN	NA	NA
subj@pass,VERB,NOUN	req-agree	NA
orphan,NOUN,NOUN	NA	NA
flat,NOUN,NOUN	NA	req-agree
mod,PROPN,NOUN	NA	NA
subj,NOUN,NOUN	NA	NA
orphan,ADJ,NOUN	NA	NA
det,NOUN,AUX	req-agree	req-agree
mod,NOUN,AUX	req-agree	req-agree
comp:obl@agent,VERB,ADJ	req-agree	req-agree
flat,VERB,VERB	req-agree	req-agree
orphan,ADJ,VERB	NA	req-agree
comp:obl,PROPN,ADJ	req-agree	req-agree
subj,AUX,PROPN	req-agree	req-agree
flat,PRON,PRON	req-agree	req-agree
comp:obj,PROPN,NOUN	NA	NA
orphan,PROPN,NOUN	NA	NA
comp:pred,VERB,NOUN	req-agree	NA
comp:pred,AUX,NOUN	req-agree	req-agree
udep,ADJ,NOUN	NA	NA
mod,AUX,ADJ	req-agree	NA
mod,NOUN,PRON	NA	NA
comp:obj,ADJ,NOUN	NA	NA
conj,NUM,NUM	NA	req-agree
udep,VERB,PRON	req-agree	req-agree
orphan,NOUN,ADJ	NA	NA
conj,NOUN,VERB	req-agree	NA
