rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,NOUN	NA	NA
conj,NOUN,NOUN	req-agree	NA
subj,NOUN,NOUN	NA	NA
conj,PROPN,PROPN	req-agree	NA
mod,PROPN,NOUN	NA	NA
appos,NOUN,PROPN	NA	NA
appos,NOUN,NOUN	req-agree	NA
mod,PROPN,PROPN	NA	NA
mod,NOUN,PROPN	NA	NA
parataxis,PROPN,NOUN	NA	NA
parataxis,NOUN,PROPN	NA	NA
subj,NOUN,PROPN	NA	NA
mod@relcl,PROPN,PROPN	NA	req-agree
parataxis,NOUN,NOUN	NA	req-agree
flat,NOUN,PROPN	NA	NA
appos,PROPN,NOUN	NA	NA
parataxis,PROPN,PROPN	NA	req-agree
flat,PROPN,NOUN	req-agree	NA
udep,NOUN,PROPN	NA	NA
comp:obj,NOUN,NOUN	NA	req-agree
udep,NOUN,NOUN	NA	NA
flat,PROPN,PROPN	NA	NA
