rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,DET	req-agree	NA
comp:pred,AUX,NOUN	req-agree	NA
mod,NOUN,VERB	NA	NA
mod,NOUN,NUM	req-agree	NA
mod,NOUN,NOUN	NA	NA
mod,NOUN,ADJ	req-agree	req-agree
comp:obj,VERB,NOUN	req-agree	NA
appos,NOUN,NOUN	req-agree	NA
comp:obl,VERB,NOUN	NA	NA
conj,NOUN,PRON	NA	req-agree
mod,PRON,VERB	NA	req-agree
conj,NOUN,NOUN	req-agree	NA
comp:aux,AUX,VERB	req-agree	NA
mod,NOUN,AUX	NA	NA
comp:aux,AUX,AUX	NA	NA
comp:aux@pass,AUX,VERB	req-agree	NA
subj,AUX,NOUN	req-agree	NA
comp:pred,AUX,ADJ	req-agree	req-agree
conj,AUX,VERB	NA	NA
parataxis,AUX,NUM	NA	NA
unk@fixed,DET,PRON	NA	req-agree
conj,AUX,AUX	NA	NA
comp:obj,AUX,NOUN	NA	NA
conj,NUM,NUM	req-agree	req-agree
unk@fixed,PRON,PRON	NA	req-agree
mod,NOUN,PRON	NA	NA
comp:pred,VERB,VERB	req-agree	req-agree
subj@pass,AUX,NOUN	req-agree	NA
appos,NOUN,PRON	req-agree	NA
conj,PRON,PRON	req-agree	req-agree
subj,VERB,NOUN	req-agree	NA
subj,AUX,PRON	req-agree	req-agree
conj,VERB,AUX	NA	NA
mod,PRON,ADJ	req-agree	NA
comp:pred,VERB,NOUN	req-agree	NA
parataxis,VERB,NUM	NA	NA
mod,ADJ,ADJ	req-agree	req-agree
mod,NUM,NUM	req-agree	req-agree
parataxis,NOUN,NUM	NA	NA
comp:pred,AUX,VERB	req-agree	req-agree
mod,AUX,AUX	NA	NA
udep,AUX,NOUN	req-agree	NA
det,NUM,DET	req-agree	req-agree
unk@expl,VERB,PRON	NA	NA
conj,VERB,VERB	req-agree	NA
det,PRON,DET	req-agree	NA
subj@pass,VERB,NOUN	NA	NA
conj,ADJ,ADJ	req-agree	req-agree
det,ADJ,PRON	req-agree	req-agree
appos,NOUN,VERB	req-agree	NA
udep,VERB,NOUN	req-agree	NA
conj,AUX,NOUN	req-agree	NA
comp:pred,NOUN,ADJ	req-agree	req-agree
unk@fixed,ADJ,NOUN	NA	req-agree
unk@fixed,VERB,NOUN	NA	NA
mod,VERB,NOUN	NA	req-agree
comp:pred,VERB,ADJ	req-agree	NA
appos,ADJ,NOUN	req-agree	NA
conj,NOUN,ADJ	req-agree	req-agree
appos,NOUN,ADJ	req-agree	NA
comp:pred,ADJ,NOUN	req-agree	req-agree
appos,ADJ,NUM	req-agree	req-agree
subj,VERB,PRON	req-agree	req-agree
comp:obj,NOUN,NOUN	NA	NA
comp:obl,ADJ,NOUN	NA	NA
comp:obj,NOUN,NUM	NA	NA
conj,ADJ,NOUN	req-agree	NA
mod,ADJ,NOUN	NA	NA
mod,VERB,VERB	NA	req-agree
det,DET,DET	req-agree	NA
det,ADJ,DET	req-agree	req-agree
subj,AUX,NUM	req-agree	req-agree
mod,VERB,NUM	req-agree	req-agree
det,NOUN,PRON	req-agree	NA
subj,AUX,ADJ	req-agree	req-agree
comp:pred,VERB,PRON	req-agree	req-agree
mod,VERB,ADJ	NA	NA
appos,NOUN,AUX	NA	NA
unk@fixed,DET,NOUN	NA	req-agree
subj,NOUN,NOUN	NA	NA
conj,NOUN,AUX	NA	req-agree
comp:aux@pass,AUX,NOUN	req-agree	req-agree
parataxis,AUX,VERB	NA	NA
mod,ADJ,VERB	NA	NA
parataxis,VERB,NOUN	NA	NA
unk@fixed,NOUN,ADJ	req-agree	req-agree
appos,NOUN,NUM	req-agree	NA
comp:aux@pass,AUX,ADJ	req-agree	req-agree
comp:pred,AUX,PRON	NA	req-agree
subj@pass,AUX,PRON	NA	req-agree
appos,PRON,NOUN	NA	NA
subj,VERB,ADJ	NA	req-agree
mod,PRON,AUX	NA	req-agree
udep,ADJ,PRON	req-agree	NA
comp:obj,AUX,ADJ	NA	NA
mod,PRON,NOUN	NA	req-agree
parataxis,AUX,AUX	NA	NA
subj,NOUN,AUX	NA	NA
mod,VERB,AUX	NA	NA
parataxis,VERB,AUX	NA	req-agree
comp:obj,NOUN,VERB	NA	NA
comp:obj,VERB,ADJ	NA	NA
mod,NUM,DET	NA	NA
udep,AUX,AUX	NA	req-agree
udep,ADJ,NOUN	req-agree	req-agree
mod,NUM,NOUN	NA	NA
comp:obl,ADJ,DET	NA	req-agree
mod,DET,ADJ	req-agree	req-agree
mod,AUX,VERB	NA	NA
mod@tmod,VERB,NOUN	NA	NA
comp:aux,AUX,NOUN	NA	NA
subj,VERB,NUM	NA	req-agree
appos,ADJ,ADJ	req-agree	req-agree
mod,ADJ,NUM	req-agree	NA
comp:obj,VERB,PRON	NA	req-agree
mod,AUX,ADJ	req-agree	req-agree
comp:obl,NOUN,NOUN	NA	req-agree
mod,NOUN,DET	NA	req-agree
