rel,head-pos,child-pos	tree-label	gold-label
parataxis,AUX,VERB	req-agree	NA
subj,VERB,PRON	req-agree	req-agree
conj,VERB,VERB	req-agree	req-agree
conj,VERB,AUX	req-agree	NA
parataxis,VERB,AUX	req-agree	NA
subj@cop,AUX,PRON	req-agree	req-agree
comp:pred@own,AUX,PRON	NA	NA
conj,PRON,VERB	NA	req-agree
parataxis,AUX,AUX	req-agree	NA
conj,AUX,VERB	req-agree	NA
subj,AUX,PRON	NA	NA
parataxis,VERB,VERB	NA	NA
conj,AUX,AUX	req-agree	NA
comp:aux,AUX,VERB	req-agree	NA
subj@cop,AUX,VERB	req-agree	req-agree
comp:obj,VERB,VERB	NA	NA
udep,VERB,PRON	NA	NA
comp:obj,VERB,AUX	NA	NA
mod@relcl,VERB,AUX	req-agree	req-agree
comp:obj,VERB,PRON	NA	NA
conj,PRON,AUX	NA	NA
comp:obj,AUX,VERB	NA	NA
mod@relcl,VERB,VERB	req-agree	req-agree
comp:pred,VERB,VERB	req-agree	req-agree
mod,VERB,VERB	req-agree	req-agree
