rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,DET	req-agree	req-agree
conj,NOUN,NOUN	req-agree	NA
mod,NOUN,ADJ	req-agree	NA
mod,NOUN,NOUN	req-agree	NA
appos,NOUN,NOUN	req-agree	NA
flat@name,NOUN,NOUN	req-agree	req-agree
mod,ADJ,ADJ	req-agree	req-agree
mod,NOUN,PRON	req-agree	req-agree
comp:obj,ADJ,NOUN	NA	NA
det,NOUN,PRON	req-agree	req-agree
udep,ADJ,PRON	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
appos,PRON,NOUN	NA	req-agree
appos,DET,NOUN	NA	NA
conj,NOUN,PRON	req-agree	NA
appos,DET,PRON	req-agree	req-agree
conj,PRON,NOUN	req-agree	NA
det,DET,DET	req-agree	req-agree
udep,PRON,NOUN	NA	NA
conj,ADJ,NOUN	NA	NA
comp:pred,NOUN,ADJ	req-agree	NA
comp:pred,NOUN,NOUN	NA	NA
appos,NOUN,PRON	req-agree	NA
mod,DET,ADJ	req-agree	NA
compound,NOUN,NOUN	req-agree	NA
det,ADJ,DET	req-agree	req-agree
det,PRON,DET	req-agree	req-agree
appos,NOUN,ADJ	req-agree	req-agree
comp:pred,VERB,NOUN	NA	NA
comp:obj,ADJ,ADJ	req-agree	req-agree
