rel,head-pos,child-pos	tree-label	gold-label
parataxis,AUX,AUX	NA	NA
subj,AUX,AUX	NA	req-agree
comp:obj,VERB,AUX	NA	req-agree
conj,VERB,AUX	NA	NA
conj,AUX,VERB	NA	NA
parataxis,VERB,AUX	NA	NA
parataxis,VERB,VERB	NA	NA
parataxis,AUX,VERB	NA	NA
conj,AUX,AUX	NA	NA
comp:pred,VERB,VERB	NA	req-agree
mod,AUX,VERB	NA	NA
subj,AUX,PRON	NA	req-agree
subj@pass,AUX,AUX	NA	req-agree
conj,VERB,VERB	NA	req-agree
subj,VERB,PRON	NA	req-agree
mod,AUX,AUX	NA	NA
comp:obj,VERB,PRON	NA	NA
comp:obl,VERB,PRON	NA	NA
comp:obj,VERB,VERB	NA	NA
comp:aux,AUX,PRON	NA	req-agree
mod,VERB,AUX	NA	req-agree
comp:obj,AUX,AUX	NA	req-agree
mod,VERB,VERB	NA	NA
comp:obj,AUX,PRON	NA	req-agree
subj,VERB,DET	NA	req-agree
conj,PRON,PRON	NA	NA
subj,AUX,VERB	NA	NA
subj@pass,VERB,PRON	NA	req-agree
comp:pred,AUX,PRON	NA	req-agree
mod,PRON,VERB	NA	NA
