rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,DET	req-agree	req-agree
mod,NOUN,ADJ	req-agree	req-agree
subj,VERB,NOUN	req-agree	req-agree
mod,NOUN,NUM	req-agree	req-agree
comp:obj,VERB,NOUN	NA	NA
subj,AUX,NOUN	req-agree	req-agree
det,ADJ,DET	req-agree	req-agree
mod,NUM,ADJ	req-agree	req-agree
conj,AUX,AUX	req-agree	NA
comp:aux,AUX,AUX	NA	NA
det,DET,DET	req-agree	req-agree
mod,NOUN,VERB	NA	NA
conj,NOUN,NOUN	NA	NA
mod,NOUN,NOUN	NA	NA
mod,VERB,AUX	NA	NA
udep,VERB,NOUN	NA	NA
comp:obj,VERB,PRON	NA	NA
comp:aux,AUX,VERB	NA	NA
mod,NOUN,AUX	req-agree	NA
comp:pred,AUX,ADJ	req-agree	req-agree
conj,AUX,VERB	NA	NA
comp:obj,VERB,VERB	NA	NA
det,PRON,DET	req-agree	req-agree
conj,VERB,AUX	NA	NA
conj,PRON,NOUN	NA	req-agree
comp:obj,VERB,ADJ	NA	NA
appos,NOUN,NOUN	NA	NA
appos,DET,NOUN	NA	NA
conj,NOUN,ADJ	NA	req-agree
comp:pred,AUX,NOUN	req-agree	NA
comp:obl,VERB,NOUN	NA	NA
mod,DET,NUM	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
compound,VERB,NOUN	NA	NA
subj,AUX,PRON	req-agree	req-agree
comp:obj,ADJ,ADJ	req-agree	NA
mod,AUX,VERB	NA	NA
udep,AUX,NOUN	NA	NA
comp:obl,VERB,PRON	NA	NA
comp:pred,AUX,PRON	req-agree	NA
conj,VERB,VERB	req-agree	NA
subj,VERB,PRON	req-agree	req-agree
conj,NUM,NUM	req-agree	NA
parataxis,AUX,AUX	req-agree	req-agree
mod,DET,NOUN	NA	NA
appos,NOUN,PRON	NA	NA
mod,PRON,VERB	req-agree	NA
parataxis,VERB,AUX	NA	req-agree
mod,VERB,VERB	NA	NA
mod,ADJ,VERB	req-agree	NA
mod,VERB,DET	NA	NA
comp:obj,NOUN,NOUN	NA	req-agree
mod,AUX,ADJ	NA	req-agree
mod,DET,ADJ	req-agree	req-agree
udep,ADJ,NOUN	NA	NA
conj,AUX,NOUN	NA	NA
comp:pred,VERB,AUX	NA	NA
det,VERB,DET	req-agree	NA
mod,VERB,ADJ	NA	NA
subj,VERB,VERB	req-agree	req-agree
mod,ADJ,ADJ	req-agree	req-agree
conj,ADJ,VERB	req-agree	req-agree
mod,AUX,AUX	NA	NA
conj,NOUN,PRON	NA	req-agree
det,NUM,DET	req-agree	req-agree
appos,NUM,NOUN	NA	req-agree
comp:obj,VERB,AUX	NA	NA
subj,AUX,ADJ	req-agree	req-agree
mod,NUM,PRON	req-agree	req-agree
subj,AUX,NUM	req-agree	NA
comp:obj,VERB,NUM	NA	NA
conj,NOUN,NUM	NA	NA
mod,AUX,DET	NA	req-agree
comp:obj,DET,AUX	NA	NA
mod,AUX,PRON	NA	NA
comp:obj,ADJ,NUM	NA	req-agree
parataxis,VERB,VERB	req-agree	NA
comp:obj,VERB,DET	req-agree	req-agree
conj,VERB,ADJ	req-agree	NA
subj,VERB,ADJ	req-agree	req-agree
comp:pred,AUX,VERB	NA	NA
subj,AUX,VERB	NA	NA
comp:obl,VERB,ADJ	NA	NA
conj,PRON,PRON	req-agree	req-agree
comp:obj,ADJ,NOUN	NA	req-agree
comp:obj,AUX,VERB	NA	NA
mod,ADJ,PRON	req-agree	req-agree
udep,VERB,NUM	NA	NA
parataxis,AUX,VERB	NA	NA
subj,VERB,AUX	req-agree	req-agree
compound,DET,DET	req-agree	req-agree
comp:pred,VERB,ADJ	NA	req-agree
conj,AUX,ADJ	req-agree	req-agree
conj,ADJ,AUX	req-agree	req-agree
mod,PRON,NUM	req-agree	NA
mod,PRON,ADJ	NA	NA
comp:obj,AUX,ADJ	NA	req-agree
udep,VERB,PRON	NA	NA
mod,PRON,AUX	NA	NA
mod,DET,VERB	req-agree	NA
subj,ADJ,NOUN	req-agree	req-agree
comp:obj,PRON,AUX	NA	NA
mod,ADJ,DET	NA	NA
mod,NOUN,PRON	req-agree	NA
subj,VERB,NUM	req-agree	req-agree
comp:obj,AUX,AUX	NA	NA
mod,VERB,PRON	NA	req-agree
conj,NOUN,AUX	NA	req-agree
appos,NOUN,ADJ	NA	req-agree
conj,NOUN,VERB	NA	req-agree
subj,AUX,AUX	req-agree	req-agree
comp:obj,PRON,VERB	NA	NA
comp:pred,DET,NOUN	req-agree	req-agree
conj,VERB,NOUN	NA	NA
det,AUX,VERB	NA	req-agree
appos,PRON,PRON	req-agree	req-agree
mod,NUM,VERB	req-agree	req-agree
unk,NOUN,PRON	NA	NA
compound,VERB,VERB	NA	req-agree
comp:obj,NOUN,ADJ	req-agree	req-agree
mod,DET,AUX	NA	req-agree
compound,NUM,NUM	req-agree	req-agree
parataxis,NOUN,AUX	NA	NA
appos,PRON,NOUN	NA	NA
parataxis,NOUN,VERB	req-agree	NA
mod,ADJ,AUX	req-agree	req-agree
comp:pred,VERB,VERB	req-agree	req-agree
orphan,NOUN,NOUN	NA	req-agree
appos,NOUN,VERB	NA	req-agree
comp:obj,AUX,NOUN	NA	req-agree
flat,PRON,PRON	req-agree	req-agree
udep,AUX,PRON	req-agree	NA
comp:obj,PRON,NOUN	NA	req-agree
mod,PRON,NOUN	NA	req-agree
comp:pred,AUX,NUM	req-agree	req-agree
conj,VERB,PRON	NA	req-agree
cc,ADJ,NOUN	NA	req-agree
conj,DET,ADJ	req-agree	req-agree
comp:aux,VERB,NOUN	NA	NA
udep,VERB,VERB	req-agree	NA
