rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,ADJ	req-agree	req-agree
appos,NOUN,NOUN	req-agree	NA
conj,NOUN,NOUN	req-agree	NA
mod,NOUN,PROPN	NA	NA
flat@name,PROPN,PROPN	req-agree	req-agree
det,NOUN,DET	req-agree	req-agree
mod,NOUN,NOUN	req-agree	NA
appos,NOUN,PROPN	req-agree	NA
comp:obl,VERB,NOUN	NA	NA
mod,NOUN,NUM	req-agree	NA
comp:obl,VERB,PRON	req-agree	NA
subj,VERB,NOUN	req-agree	NA
conj,NOUN,ADJ	req-agree	NA
appos,PRON,NOUN	req-agree	req-agree
det,PROPN,DET	req-agree	req-agree
mod,PROPN,ADJ	req-agree	NA
conj,ADJ,ADJ	req-agree	NA
parataxis,VERB,VERB	req-agree	NA
conj,VERB,ADJ	req-agree	NA
conj,ADJ,NOUN	NA	NA
subj,VERB,PRON	req-agree	NA
conj,NOUN,VERB	req-agree	NA
udep,VERB,NOUN	NA	NA
conj,VERB,NOUN	NA	NA
det,NOUN,PRON	req-agree	NA
mod,NOUN,PRON	req-agree	NA
dislocated,PRON,NOUN	NA	NA
subj@pass,VERB,PRON	req-agree	NA
comp:obj,NOUN,NOUN	NA	NA
mod@relcl,NOUN,VERB	req-agree	NA
mod@relcl,PRON,VERB	req-agree	req-agree
subj@pass,VERB,NOUN	req-agree	NA
conj,VERB,VERB	req-agree	NA
subj,AUX,PRON	req-agree	NA
mod@gov,NOUN,NUM	req-agree	NA
mod,PRON,NOUN	NA	NA
subj,AUX,NOUN	req-agree	NA
comp:obl,ADJ,NOUN	NA	NA
comp:aux,AUX,ADJ	req-agree	req-agree
mod,DET,AUX	req-agree	req-agree
det,PRON,DET	req-agree	NA
det,ADJ,DET	req-agree	req-agree
conj,ADJ,DET	req-agree	req-agree
conj,PRON,PRON	req-agree	req-agree
mod,NOUN,VERB	req-agree	NA
det,VERB,PRON	NA	req-agree
comp:obj,VERB,NOUN	NA	NA
conj,PRON,NOUN	NA	req-agree
subj,VERB,PROPN	req-agree	req-agree
parataxis,NOUN,VERB	req-agree	NA
conj,ADJ,VERB	req-agree	NA
comp:obj,VERB,PRON	req-agree	NA
mod,PRON,ADJ	req-agree	NA
conj,NOUN,PROPN	NA	NA
mod,ADJ,NOUN	NA	req-agree
comp:obj,VERB,PROPN	req-agree	req-agree
appos,PRON,PROPN	req-agree	req-agree
mod,VERB,ADJ	NA	req-agree
mod,VERB,NOUN	NA	NA
mod,VERB,PRON	req-agree	NA
comp:obj,VERB,VERB	req-agree	NA
subj@pass,NOUN,PROPN	req-agree	req-agree
mod,PRON,VERB	req-agree	NA
udep,VERB,PRON	req-agree	req-agree
appos,PROPN,NOUN	req-agree	NA
mod@relcl,PROPN,VERB	req-agree	NA
mod,PROPN,PROPN	NA	req-agree
mod,ADJ,PROPN	NA	NA
conj,VERB,AUX	req-agree	NA
comp:pred,AUX,NOUN	req-agree	NA
conj,AUX,VERB	req-agree	NA
appos,ADJ,NOUN	req-agree	NA
conj,PROPN,PROPN	req-agree	NA
mod,PROPN,NOUN	NA	NA
conj,VERB,PROPN	NA	NA
subj,NOUN,NOUN	NA	NA
det,VERB,DET	req-agree	req-agree
appos,VERB,NOUN	NA	req-agree
appos,VERB,PROPN	req-agree	req-agree
mod,PRON,NUM	req-agree	req-agree
comp:aux,AUX,VERB	req-agree	req-agree
subj@pass,AUX,NOUN	req-agree	NA
parataxis,NOUN,NOUN	NA	req-agree
flat@name,ADJ,ADJ	req-agree	req-agree
conj,PROPN,NOUN	NA	NA
subj,PROPN,DET	req-agree	NA
mod,DET,PRON	req-agree	req-agree
subj,PRON,NOUN	NA	NA
mod@relcl,DET,AUX	req-agree	req-agree
comp:obl,ADJ,PRON	NA	NA
subj,ADJ,NOUN	req-agree	NA
subj,VERB,DET	req-agree	req-agree
mod,DET,ADJ	req-agree	NA
comp:obl,VERB,PROPN	req-agree	NA
mod,PROPN,VERB	req-agree	req-agree
unk,NOUN,DET	req-agree	req-agree
vocative,ADJ,NOUN	NA	NA
udep,ADJ,NOUN	NA	NA
mod,ADJ,NUM	req-agree	req-agree
appos,NOUN,ADJ	req-agree	NA
mod,ADJ,ADJ	req-agree	req-agree
parataxis,ADJ,VERB	req-agree	NA
subj,PROPN,NOUN	NA	NA
flat@name,ADJ,PROPN	req-agree	req-agree
mod,VERB,DET	NA	NA
parataxis,VERB,NOUN	NA	NA
udep,VERB,ADJ	req-agree	req-agree
vocative,VERB,NOUN	NA	NA
udep,VERB,PROPN	req-agree	NA
subj,VERB,ADJ	req-agree	req-agree
appos,DET,NOUN	req-agree	NA
subj@pass,VERB,DET	req-agree	req-agree
comp:pred,VERB,NOUN	req-agree	NA
vocative,NOUN,NOUN	NA	NA
mod,NOUN,DET	req-agree	NA
appos,DET,ADJ	req-agree	req-agree
subj,NOUN,PROPN	req-agree	NA
comp:obl,PRON,NOUN	NA	NA
det,DET,DET	req-agree	req-agree
subj,AUX,DET	req-agree	req-agree
comp:obj,VERB,ADJ	NA	req-agree
mod@relcl,DET,VERB	req-agree	NA
subj,ADJ,PRON	NA	NA
subj,ADJ,DET	req-agree	req-agree
parataxis,PROPN,NOUN	NA	req-agree
subj,NOUN,PRON	NA	NA
mod@relcl,PRON,NOUN	NA	NA
conj,NOUN,PRON	NA	NA
