rel,head-pos,child-pos	tree-label	gold-label
parataxis@discourse,VERB,VERB	req-agree	NA
subj,AUX,PRON	req-agree	req-agree
comp:obj,VERB,AUX	NA	NA
conj,VERB,VERB	req-agree	NA
comp:obj,VERB,VERB	NA	NA
parataxis,VERB,AUX	req-agree	NA
parataxis,VERB,VERB	req-agree	NA
subj,VERB,PRON	req-agree	req-agree
conj,AUX,AUX	req-agree	NA
comp:obj,VERB,PRON	NA	NA
conj,VERB,AUX	req-agree	NA
parataxis,AUX,AUX	req-agree	NA
reparandum,DET,DET	NA	req-agree
parataxis@discourse,AUX,VERB	req-agree	NA
unk@expl,VERB,PRON	req-agree	req-agree
parataxis,AUX,VERB	req-agree	NA
comp:obl,VERB,PRON	NA	NA
parataxis@restart,VERB,VERB	req-agree	NA
reparandum,VERB,VERB	NA	NA
conj,AUX,VERB	req-agree	NA
parataxis@restart,VERB,AUX	req-agree	NA
mod,VERB,VERB	NA	NA
dislocated,VERB,PRON	NA	NA
discourse,VERB,PRON	NA	NA
comp:pred,VERB,VERB	NA	NA
mod,AUX,AUX	req-agree	NA
subj,AUX,VERB	req-agree	req-agree
reparandum,AUX,VERB	req-agree	req-agree
subj,VERB,VERB	req-agree	NA
parataxis@restart,AUX,VERB	req-agree	NA
parataxis@restart,AUX,AUX	req-agree	req-agree
dislocated,AUX,PRON	req-agree	NA
comp:obj,AUX,PRON	NA	NA
comp:aux,AUX,AUX	NA	req-agree
mod,AUX,VERB	req-agree	req-agree
reparandum,VERB,AUX	NA	req-agree
subj,AUX,AUX	req-agree	req-agree
