rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,DET	req-agree	req-agree
mod,PRON,ADJ	req-agree	req-agree
mod,NOUN,ADJ	req-agree	req-agree
parataxis,NOUN,NOUN	NA	NA
conj,NOUN,NOUN	req-agree	NA
discourse,NOUN,NOUN	NA	NA
flat,NOUN,NOUN	NA	req-agree
comp:obj,VERB,NOUN	NA	NA
det@poss,NOUN,DET	req-agree	req-agree
det,ADJ,DET	req-agree	req-agree
vocative,PRON,NOUN	NA	req-agree
parataxis@appos,NOUN,NOUN	NA	NA
conj,ADJ,ADJ	req-agree	req-agree
comp:obl,VERB,PRON	req-agree	req-agree
compound,NOUN,NOUN	NA	NA
comp:aux@pass,AUX,VERB	req-agree	req-agree
det,PRON,DET	req-agree	req-agree
mod,NOUN,NOUN	NA	NA
conj,ADJ,NOUN	NA	NA
parataxis,ADJ,NOUN	NA	req-agree
subj,ADJ,NOUN	NA	req-agree
mod,PRON,VERB	req-agree	req-agree
comp:obj,VERB,PRON	req-agree	NA
comp:pred,AUX,ADJ	req-agree	req-agree
mod,NOUN,VERB	req-agree	req-agree
parataxis,NOUN,ADJ	req-agree	NA
conj,VERB,VERB	req-agree	req-agree
discourse,ADJ,ADJ	req-agree	NA
mod,NOUN,PRON	req-agree	NA
vocative,NOUN,NOUN	NA	req-agree
subj,NOUN,NOUN	NA	NA
comp:pred,VERB,ADJ	req-agree	req-agree
flat@name,DET,NOUN	NA	req-agree
conj,NOUN,PRON	req-agree	NA
appos,NOUN,NOUN	NA	NA
list,NOUN,NOUN	NA	req-agree
mod,VERB,ADJ	req-agree	req-agree
subj,VERB,NOUN	NA	req-agree
parataxis,PRON,NOUN	NA	req-agree
comp:pred,VERB,NOUN	req-agree	NA
conj,NOUN,ADJ	req-agree	req-agree
parataxis,VERB,NOUN	NA	req-agree
parataxis,NOUN,PRON	req-agree	req-agree
udep,NOUN,NOUN	NA	req-agree
mod,NOUN,DET	req-agree	req-agree
parataxis,NOUN,VERB	req-agree	NA
appos,NOUN,PRON	req-agree	req-agree
subj,PRON,NOUN	NA	req-agree
parataxis@appos,PRON,NOUN	NA	req-agree
unk@fixed,NOUN,NOUN	NA	req-agree
discourse,PRON,NOUN	NA	req-agree
