rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,ADJ	req-agree	req-agree
det,NOUN,DET	req-agree	req-agree
det,PROPN,DET	req-agree	req-agree
flat,PROPN,PROPN	req-agree	req-agree
appos,PROPN,NOUN	NA	NA
det@poss,NOUN,PRON	req-agree	req-agree
mod,PROPN,ADJ	req-agree	req-agree
mod,NOUN,VERB	req-agree	req-agree
conj,NOUN,NOUN	req-agree	NA
comp:aux@pass,AUX,VERB	req-agree	req-agree
compound,NOUN,NOUN	NA	NA
mod,PRON,ADJ	req-agree	req-agree
mod,NOUN,PROPN	req-agree	NA
subj,VERB,NOUN	NA	req-agree
appos,NOUN,PROPN	req-agree	NA
compound,NOUN,PROPN	req-agree	NA
conj,PROPN,PROPN	req-agree	NA
conj,PROPN,NOUN	NA	NA
flat,PROPN,ADJ	req-agree	req-agree
parataxis,NOUN,ADJ	req-agree	req-agree
conj,VERB,VERB	req-agree	req-agree
comp:aux,AUX,VERB	req-agree	req-agree
mod,PROPN,VERB	req-agree	req-agree
mod@relcl,PRON,VERB	req-agree	req-agree
unk@fixed,NOUN,ADP	req-agree	NA
comp:pred,AUX,NUM	req-agree	req-agree
comp:obj,VERB,NOUN	NA	NA
mod,NOUN,NOUN	NA	NA
conj,ADJ,ADJ	req-agree	req-agree
comp:pred,VERB,ADJ	req-agree	req-agree
appos,PROPN,PROPN	req-agree	NA
comp:pred,AUX,ADJ	req-agree	req-agree
comp:pred,AUX,NOUN	req-agree	req-agree
comp:obj,VERB,PRON	req-agree	req-agree
comp:pred,VERB,NOUN	req-agree	NA
appos,NOUN,NOUN	NA	NA
unk@fixed,NOUN,NOUN	NA	req-agree
det,ADJ,DET	req-agree	req-agree
compound,ADJ,PROPN	req-agree	req-agree
flat,NOUN,NOUN	NA	req-agree
flat,NOUN,PROPN	req-agree	req-agree
conj,PRON,NOUN	NA	req-agree
compound,NOUN,ADJ	req-agree	req-agree
comp:obj,NOUN,NOUN	NA	req-agree
conj,NOUN,PROPN	req-agree	NA
comp:pred,AUX,DET	req-agree	req-agree
mod,NOUN,NUM	req-agree	req-agree
det,VERB,DET	req-agree	req-agree
mod,VERB,ADJ	req-agree	req-agree
conj,VERB,NOUN	NA	req-agree
comp:obl,VERB,PRON	req-agree	NA
mod@relcl,NOUN,PROPN	req-agree	NA
parataxis,PROPN,PROPN	req-agree	req-agree
comp:obj,ADJ,PRON	req-agree	req-agree
mod,NUM,ADJ	req-agree	req-agree
subj@pass,VERB,NOUN	NA	req-agree
det,PRON,DET	req-agree	NA
flat,PROPN,ADP	req-agree	NA
mod,VERB,VERB	req-agree	req-agree
comp:pred,VERB,PROPN	req-agree	req-agree
appos,NOUN,VERB	req-agree	req-agree
mod,VERB,NOUN	NA	NA
det@poss,PROPN,PRON	req-agree	req-agree
conj,NOUN,ADJ	req-agree	NA
appos,PROPN,NUM	req-agree	req-agree
det@poss,NOUN,DET	req-agree	req-agree
mod,PROPN,PROPN	req-agree	NA
mod,DET,ADJ	req-agree	req-agree
comp:obj,VERB,PROPN	req-agree	NA
mod,ADJ,VERB	req-agree	req-agree
subj@pass,VERB,PRON	req-agree	req-agree
mod,PRON,VERB	req-agree	req-agree
conj,NOUN,PRON	req-agree	req-agree
unk@fixed,DET,NOUN	NA	req-agree
comp:pred,VERB,NUM	req-agree	req-agree
mod@relcl,NOUN,NOUN	NA	NA
subj@pass,VERB,PROPN	req-agree	req-agree
compound,PROPN,ADJ	req-agree	req-agree
mod,NOUN,DET	req-agree	req-agree
comp:obj,ADP,NOUN	NA	req-agree
mod,NOUN,ADV	req-agree	req-agree
flat,DET,PROPN	req-agree	req-agree
orphan,NOUN,VERB	req-agree	req-agree
appos,PRON,NOUN	NA	req-agree
conj,PRON,PROPN	req-agree	req-agree
