rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,ADJ	NA	req-agree
det,NOUN,DET	NA	NA
mod,NOUN,NOUN	NA	NA
conj,NOUN,NOUN	NA	NA
mod,NOUN,NUM	NA	NA
mod,NOUN,PROPN	NA	NA
mod,PROPN,NOUN	NA	NA
comp:obj,VERB,PRON	NA	NA
comp:obj,VERB,NOUN	NA	NA
appos,NOUN,NOUN	NA	NA
comp:obl,VERB,PROPN	NA	NA
conj,PROPN,NOUN	NA	NA
conj,PROPN,PROPN	NA	NA
det,NOUN,PRON	NA	NA
conj,ADJ,NOUN	NA	NA
conj,NOUN,ADJ	NA	NA
subj,VERB,NOUN	NA	req-agree
subj,ADJ,NOUN	NA	NA
udep,VERB,NOUN	NA	NA
det,PRON,DET	NA	NA
conj,NUM,PRON	NA	req-agree
comp:obl,VERB,PRON	NA	NA
compound,PRON,PRON	NA	req-agree
mod,NOUN,VERB	NA	req-agree
mod,NOUN,AUX	NA	req-agree
conj,VERB,ADJ	NA	req-agree
udep,VERB,PRON	NA	NA
subj@pass,VERB,NOUN	NA	req-agree
conj,ADJ,VERB	NA	req-agree
udep,NOUN,NOUN	NA	NA
comp:obl,VERB,NOUN	NA	NA
conj,VERB,VERB	NA	NA
subj,VERB,PROPN	NA	req-agree
vocative,NOUN,PROPN	NA	req-agree
subj,VERB,PRON	NA	req-agree
flat@name,PROPN,PROPN	NA	req-agree
orphan,NOUN,NOUN	NA	NA
mod,ADJ,ADJ	NA	req-agree
conj,ADJ,ADJ	NA	NA
det,NUM,DET	NA	req-agree
discourse,ADJ,NUM	NA	NA
compound,DET,PRON	NA	req-agree
subj,AUX,PRON	NA	NA
comp:pred,AUX,NOUN	NA	req-agree
conj,NOUN,PROPN	NA	NA
conj,VERB,NOUN	NA	NA
subj,AUX,NOUN	NA	req-agree
comp:pred,AUX,ADJ	NA	req-agree
mod,NUM,VERB	NA	req-agree
comp:obl,NOUN,PRON	NA	NA
comp:obj,VERB,PROPN	NA	NA
det,ADJ,DET	NA	req-agree
subj,ADJ,PRON	NA	req-agree
subj,NOUN,PRON	NA	NA
appos,PRON,PROPN	NA	req-agree
compound,NOUN,NOUN	NA	req-agree
conj,NOUN,NUM	NA	req-agree
orphan,NOUN,PRON	NA	NA
orphan,ADJ,NOUN	NA	NA
dislocated,PRON,NOUN	NA	req-agree
vocative,NOUN,NOUN	NA	NA
comp:pred,VERB,ADJ	NA	req-agree
orphan,PRON,NOUN	NA	NA
subj,PRON,NOUN	NA	req-agree
udep,ADJ,NOUN	NA	NA
mod,PRON,VERB	NA	req-agree
conj,NUM,NUM	NA	req-agree
mod,PROPN,NUM	NA	req-agree
mod,ADJ,NOUN	NA	NA
