rel,head-pos,child-pos	tree-label	gold-label
mod@att,NOUN,ADJ	NA	NA
subj,VERB,NOUN	NA	req-agree
mod@att,ADJ,NOUN	NA	NA
mod@obl,ADJ,ADJ	NA	req-agree
comp:obj,VERB,NOUN	NA	NA
mod@att,NOUN,NOUN	NA	NA
mod@obl,VERB,NOUN	NA	NA
conj,NOUN,NOUN	NA	NA
conj,VERB,VERB	NA	NA
flat@name,NOUN,PROPN	NA	req-agree
appos,NOUN,NOUN	NA	req-agree
mod@obl,VERB,PROPN	NA	NA
mod,VERB,VERB	NA	NA
comp:obj,VERB,VERB	NA	NA
subj,ADJ,NOUN	NA	req-agree
mod@obl,ADJ,NOUN	NA	NA
mod@att,NOUN,PROPN	NA	NA
flat@name,PROPN,PROPN	NA	req-agree
mod@att,ADJ,ADJ	NA	req-agree
conj,ADJ,ADJ	NA	req-agree
subj,AUX,NOUN	NA	req-agree
comp:pred,AUX,ADJ	NA	req-agree
mod@obl,NOUN,NOUN	NA	NA
comp:obj,VERB,ADJ	NA	NA
conj,ADJ,NOUN	NA	req-agree
mod@obl,VERB,PRON	NA	NA
comp:obj@lvc,VERB,NOUN	NA	NA
compound@preverb,VERB,ADJ	NA	req-agree
subj,ADJ,PRON	NA	req-agree
conj,VERB,ADJ	NA	NA
parataxis,VERB,VERB	NA	NA
subj,VERB,PRON	NA	req-agree
appos,NOUN,PROPN	NA	req-agree
det,NOUN,DET	NA	req-agree
mod@mode,VERB,ADJ	NA	NA
mod,ADJ,NUM	NA	req-agree
conj,NUM,NUM	NA	req-agree
mod@mode,ADJ,ADJ	NA	NA
subj,VERB,VERB	NA	req-agree
comp:obj,VERB,PRON	NA	NA
mod@obl,PRON,NOUN	NA	req-agree
mod,NOUN,VERB	NA	NA
comp:obl,VERB,NOUN	NA	NA
mod@obl,ADJ,PRON	NA	req-agree
mod,NOUN,NUM	NA	req-agree
parataxis,NOUN,ADJ	NA	req-agree
conj,VERB,NOUN	NA	NA
conj,NOUN,VERB	NA	NA
mod@obl,ADJ,PROPN	NA	NA
subj,NOUN,PROPN	NA	NA
mod@obl,NOUN,NUM	NA	NA
subj,VERB,PROPN	NA	req-agree
flat@name,PROPN,ADJ	NA	req-agree
mod@att,NOUN,PRON	NA	NA
comp:pred,AUX,NOUN	NA	req-agree
comp:obl,VERB,AUX	NA	req-agree
mod@att,NUM,ADJ	NA	req-agree
subj,AUX,NUM	NA	req-agree
comp:aux,AUX,VERB	NA	NA
mod,PRON,VERB	NA	req-agree
appos,PRON,PROPN	NA	req-agree
mod@obl,VERB,NUM	NA	NA
parataxis,VERB,NOUN	NA	NA
comp:obj@x,VERB,VERB	NA	NA
mod@att,PROPN,ADJ	NA	req-agree
subj,NOUN,PRON	NA	req-agree
mod@att,VERB,PRON	NA	NA
appos,PROPN,NOUN	NA	req-agree
mod@att,ADJ,PROPN	NA	NA
mod@att,PROPN,NOUN	NA	req-agree
appos,PROPN,PROPN	NA	req-agree
mod@att,NOUN,NUM	NA	req-agree
conj,VERB,PROPN	NA	req-agree
parataxis,NOUN,VERB	NA	req-agree
conj,PROPN,PROPN	NA	req-agree
conj,PRON,PROPN	NA	req-agree
subj,NOUN,NOUN	NA	req-agree
compound,NUM,NUM	NA	req-agree
mod@att,ADJ,PRON	NA	req-agree
conj,ADJ,VERB	NA	NA
comp:obj,VERB,PROPN	NA	NA
mod,PROPN,VERB	NA	NA
mod@obl,ADJ,NUM	NA	req-agree
comp:obj,ADJ,NOUN	NA	NA
udep,ADJ,NOUN	NA	req-agree
mod@obllvc,VERB,NOUN	NA	NA
mod@mode,VERB,PRON	NA	req-agree
subj,ADJ,PROPN	NA	NA
orphan,PROPN,NOUN	NA	NA
conj,ADJ,PROPN	NA	req-agree
mod@obl,VERB,ADJ	NA	NA
flat@name,PROPN,NOUN	NA	req-agree
subj,VERB,NUM	NA	NA
subj,AUX,PRON	NA	req-agree
conj,VERB,AUX	NA	NA
subj,AUX,PROPN	NA	req-agree
mod,AUX,VERB	NA	NA
mod@att,VERB,PROPN	NA	NA
parataxis,VERB,PROPN	NA	req-agree
subj@lvc,VERB,NOUN	NA	req-agree
mod,VERB,AUX	NA	req-agree
mod@obl,PROPN,PROPN	NA	req-agree
orphan,VERB,PROPN	NA	req-agree
mod@obl,PROPN,NOUN	NA	NA
orphan,PROPN,ADJ	NA	req-agree
conj,NOUN,PROPN	NA	req-agree
mod,NUM,NUM	NA	req-agree
conj,NOUN,ADJ	NA	req-agree
parataxis,NOUN,AUX	NA	NA
comp:pred,VERB,VERB	NA	NA
parataxis,AUX,VERB	NA	NA
subj,PRON,ADJ	NA	req-agree
mod@mode,NOUN,ADJ	NA	req-agree
list,NOUN,PROPN	NA	NA
list,NOUN,NOUN	NA	NA
parataxis,NOUN,PROPN	NA	NA
parataxis,PROPN,ADJ	NA	req-agree
conj,PROPN,NOUN	NA	NA
list,PROPN,PROPN	NA	req-agree
mod@att,VERB,NOUN	NA	NA
conj,AUX,VERB	NA	NA
comp:pred,AUX,PRON	NA	req-agree
udep,VERB,NOUN	NA	NA
mod,PROPN,AUX	NA	req-agree
conj,AUX,ADJ	NA	req-agree
mod@obl,NOUN,PRON	NA	req-agree
comp:obl,VERB,VERB	NA	req-agree
comp:pred,AUX,PROPN	NA	req-agree
mod@att,PRON,PRON	NA	req-agree
conj,NOUN,PRON	NA	req-agree
mod@locy,VERB,PRON	NA	req-agree
comp:obj,VERB,AUX	NA	req-agree
orphan,NOUN,NUM	NA	req-agree
comp:obj,ADJ,ADJ	NA	req-agree
parataxis,NOUN,NOUN	NA	req-agree
conj,PROPN,VERB	NA	req-agree
det,NUM,DET	NA	req-agree
mod,NUM,VERB	NA	NA
subj,ADJ,VERB	NA	NA
parataxis,NOUN,NUM	NA	req-agree
det,ADJ,DET	NA	req-agree
comp:obj,VERB,NUM	NA	req-agree
mod@mode,PROPN,VERB	NA	NA
comp:obl,VERB,PRON	NA	req-agree
mod@obl,NOUN,ADJ	NA	req-agree
mod,NOUN,PROPN	NA	req-agree
flat@name,PROPN,AUX	NA	req-agree
orphan,VERB,NOUN	NA	NA
orphan,NOUN,ADJ	NA	NA
subj,PROPN,PROPN	NA	req-agree
comp:aux,AUX,AUX	NA	req-agree
mod@obllvc,ADJ,NOUN	NA	req-agree
mod@att,NUM,NUM	NA	req-agree
mod@att,NOUN,AUX	NA	req-agree
comp:obl,VERB,PROPN	NA	req-agree
det,NOUN,PRON	NA	req-agree
mod@att,ADJ,NUM	NA	req-agree
udep,AUX,ADJ	NA	NA
udep,ADJ,ADJ	NA	req-agree
udep,VERB,ADJ	NA	NA
subj,ADJ,ADJ	NA	req-agree
appos,ADJ,NOUN	NA	req-agree
comp:obl,NOUN,NOUN	NA	NA
orphan,NOUN,NOUN	NA	req-agree
mod,NOUN,NOUN	NA	req-agree
mod@att,VERB,AUX	NA	NA
list,PROPN,NOUN	NA	req-agree
parataxis,ADJ,VERB	NA	NA
compound@preverb,VERB,PRON	NA	NA
mod@att,NUM,NOUN	NA	req-agree
mod,VERB,ADJ	NA	req-agree
orphan,ADJ,ADJ	NA	req-agree
mod@obl,NUM,NOUN	NA	req-agree
udep,VERB,PRON	NA	NA
mod,PROPN,ADJ	NA	NA
comp:obj,NOUN,PRON	NA	req-agree
