rel,head-pos,child-pos	tree-label	gold-label
comp:obj,NOUN,NOUN	NA	NA
mod,NOUN,ADJ	req-agree	req-agree
mod@flat,PROPN,ADJ	req-agree	req-agree
subj,VERB,NOUN	req-agree	NA
mod,NOUN,PROPN	NA	NA
appos,NOUN,PROPN	req-agree	NA
flat,PROPN,PROPN	req-agree	req-agree
mod@flat,NOUN,ADJ	req-agree	req-agree
det@poss,NOUN,DET	req-agree	req-agree
mod,NOUN,NOUN	NA	NA
mod@arg,NOUN,NOUN	NA	NA
comp:obl,VERB,NOUN	NA	NA
flat,NOUN,PROPN	NA	NA
mod,NOUN,NUM	req-agree	req-agree
appos,NOUN,NOUN	req-agree	NA
det,NOUN,DET	req-agree	req-agree
unk@fixed,DET,ADJ	req-agree	req-agree
mod@arg,NOUN,PROPN	NA	NA
conj,PROPN,NOUN	req-agree	NA
mod@flat,NOUN,NOUN	NA	NA
conj,NOUN,NOUN	req-agree	NA
subj@pass,AUX,NOUN	req-agree	NA
comp:aux@pass,AUX,ADJ	req-agree	req-agree
det@numgov,NOUN,DET	req-agree	req-agree
subj,AUX,NOUN	req-agree	req-agree
comp:pred,AUX,ADJ	req-agree	NA
mod@gov,NOUN,NUM	req-agree	req-agree
flat,NUM,NOUN	req-agree	req-agree
appos,PROPN,PROPN	req-agree	NA
comp:obl,NOUN,NOUN	NA	NA
comp:obj,VERB,NOUN	NA	NA
parataxis@insert,VERB,AUX	NA	NA
subj,VERB,PROPN	req-agree	req-agree
comp:obj,VERB,PROPN	NA	NA
mod,NOUN,PRON	req-agree	NA
conj,VERB,VERB	req-agree	NA
unk@fixed,PRON,ADJ	req-agree	req-agree
subj,VERB,ADJ	req-agree	req-agree
conj,VERB,NOUN	NA	req-agree
comp:obj,ADJ,NOUN	NA	NA
mod@relcl,PRON,AUX	req-agree	NA
mod@arg,NOUN,ADJ	NA	NA
flat,ADJ,PROPN	req-agree	req-agree
mod,PROPN,ADJ	req-agree	req-agree
conj,PRON,PROPN	req-agree	NA
comp:obl,ADJ,PROPN	NA	NA
conj,PROPN,PROPN	req-agree	NA
mod,PROPN,PROPN	NA	NA
mod,PRON,ADJ	req-agree	req-agree
comp:obl,VERB,PROPN	NA	NA
mod,DET,NOUN	NA	NA
parataxis@obj,VERB,VERB	NA	NA
appos,PROPN,NOUN	req-agree	NA
mod@flat,ADJ,NOUN	req-agree	req-agree
subj,VERB,DET	req-agree	req-agree
mod@relcl,NOUN,VERB	req-agree	NA
conj,NOUN,PROPN	req-agree	NA
det@numgov,ADJ,DET	req-agree	req-agree
comp:obl,ADJ,NOUN	NA	NA
parataxis@insert,NOUN,NOUN	NA	req-agree
conj,ADJ,ADJ	req-agree	req-agree
comp:obj,VERB,PRON	NA	NA
subj,VERB,PRON	req-agree	req-agree
mod,VERB,VERB	req-agree	NA
mod@relcl,PROPN,VERB	req-agree	NA
mod@relcl,PRON,VERB	NA	NA
subj,AUX,PROPN	req-agree	NA
comp:pred,AUX,NOUN	req-agree	NA
mod@relcl,PROPN,AUX	req-agree	NA
parataxis@obj,VERB,AUX	NA	req-agree
mod@poss,NOUN,NOUN	NA	NA
mod,PROPN,NOUN	NA	NA
subj,NOUN,NOUN	NA	NA
udep,ADJ,NOUN	NA	NA
mod,NOUN,DET	req-agree	req-agree
mod,DET,ADJ	req-agree	req-agree
comp:obj,NOUN,PRON	NA	NA
comp:obl,VERB,PRON	req-agree	NA
mod@flat,PROPN,NOUN	req-agree	NA
subj,ADJ,PRON	req-agree	req-agree
mod@relcl,NOUN,ADJ	req-agree	NA
conj,VERB,AUX	NA	NA
comp:pred,AUX,DET	req-agree	req-agree
comp:pred@pred,VERB,ADJ	req-agree	NA
comp:obj,ADJ,PROPN	NA	req-agree
comp:pred@pred,VERB,NOUN	NA	NA
comp:obl,ADJ,PRON	NA	NA
conj,PRON,NOUN	NA	NA
comp:obj,VERB,DET	NA	NA
mod@relcl,DET,VERB	req-agree	NA
udep,VERB,NOUN	NA	NA
det@nummod,NOUN,DET	req-agree	req-agree
mod@arg,PROPN,NOUN	NA	req-agree
conj,NUM,NUM	req-agree	req-agree
mod,ADJ,ADJ	req-agree	req-agree
subj,VERB,NUM	req-agree	NA
comp:obj,NOUN,PROPN	NA	NA
mod@poss,NOUN,PROPN	NA	NA
comp:obl,VERB,DET	NA	NA
subj@pass,AUX,NUM	req-agree	NA
mod@arg,NOUN,DET	NA	req-agree
udep,VERB,ADJ	req-agree	NA
comp:pred,VERB,ADJ	req-agree	req-agree
conj,PROPN,ADJ	req-agree	NA
parataxis@insert,PROPN,PROPN	req-agree	req-agree
mod,PRON,DET	req-agree	req-agree
mod,PROPN,NUM	req-agree	req-agree
appos,PROPN,ADJ	req-agree	req-agree
comp:obj,VERB,VERB	NA	NA
comp:obj,DET,NOUN	NA	req-agree
conj,AUX,PROPN	NA	req-agree
mod,PROPN,VERB	req-agree	req-agree
conj,ADJ,NOUN	NA	req-agree
comp:pred,AUX,NUM	req-agree	NA
mod@relcl,NUM,VERB	req-agree	req-agree
comp:obj,ADJ,PRON	NA	req-agree
mod@arg,NOUN,PRON	NA	NA
comp:obl,NOUN,PROPN	NA	NA
flat,NUM,NUM	req-agree	req-agree
conj,NOUN,PRON	NA	NA
comp:obj,PRON,AUX	NA	NA
subj@pass,AUX,PRON	NA	req-agree
subj@pass,AUX,DET	req-agree	req-agree
mod@relcl,NOUN,AUX	req-agree	req-agree
mod,AUX,VERB	req-agree	req-agree
udep,AUX,NOUN	req-agree	NA
conj,NOUN,VERB	req-agree	req-agree
udep,AUX,ADJ	req-agree	NA
subj@pass,AUX,PROPN	req-agree	NA
mod,NUM,ADJ	req-agree	req-agree
det,NUM,DET	req-agree	req-agree
mod@relcl,DET,AUX	req-agree	req-agree
conj,AUX,VERB	req-agree	NA
det,PROPN,DET	req-agree	req-agree
comp:aux,AUX,ADJ	req-agree	req-agree
conj,AUX,AUX	NA	NA
mod,ADJ,NUM	req-agree	req-agree
conj,NOUN,NUM	req-agree	req-agree
mod@relcl,VERB,VERB	req-agree	NA
udep,ADJ,PRON	NA	NA
comp:obl,VERB,ADJ	NA	NA
subj@pass,ADJ,NOUN	req-agree	req-agree
udep,ADJ,ADJ	req-agree	req-agree
comp:obj,NOUN,DET	NA	req-agree
unk@fixed,NOUN,NOUN	NA	NA
mod@relcl,ADJ,VERB	req-agree	NA
conj,NOUN,ADJ	req-agree	req-agree
det,ADJ,DET	req-agree	req-agree
mod@pred,NOUN,NOUN	NA	NA
mod,NUM,NOUN	req-agree	req-agree
orphan,PROPN,NOUN	NA	req-agree
mod@relcl,PRON,ADJ	req-agree	req-agree
conj,ADJ,DET	req-agree	req-agree
subj@pass,ADJ,PRON	NA	req-agree
mod,PRON,NOUN	NA	NA
subj,AUX,PRON	req-agree	req-agree
appos,PRON,NOUN	req-agree	req-agree
subj,AUX,DET	req-agree	req-agree
mod,PRON,NUM	req-agree	req-agree
mod@relcl,ADJ,AUX	req-agree	NA
comp:pred@pred,NOUN,NOUN	NA	NA
