rel,head-pos,child-pos	tree-label	gold-label
udep,AUX,NOUN	NA	NA
mod,NOUN,PROPN	req-agree	NA
conj,PROPN,PROPN	req-agree	req-agree
subj,AUX,NOUN	req-agree	NA
mod,NOUN,ADJ	req-agree	req-agree
conj,NOUN,NOUN	NA	NA
subj,VERB,PRON	req-agree	req-agree
det,PRON,DET	req-agree	req-agree
subj@pass,VERB,PRON	req-agree	req-agree
mod@relcl,PRON,VERB	NA	req-agree
comp:pred,VERB,ADJ	req-agree	NA
subj,NOUN,NOUN	req-agree	NA
mod,NOUN,VERB	req-agree	req-agree
comp:obj,VERB,NOUN	NA	NA
det,NOUN,DET	req-agree	req-agree
conj,VERB,VERB	req-agree	NA
comp:obj,VERB,PRON	NA	NA
subj,VERB,NOUN	req-agree	req-agree
mod,NOUN,NOUN	NA	NA
parataxis,VERB,NOUN	NA	NA
appos,NOUN,ADJ	req-agree	req-agree
parataxis,NOUN,NOUN	NA	NA
parataxis,NOUN,VERB	NA	NA
det,NOUN,PRON	NA	req-agree
orphan,NOUN,NOUN	NA	NA
subj,AUX,DET	req-agree	req-agree
mod@relcl,DET,VERB	NA	NA
comp:obl,VERB,NOUN	NA	NA
vocative,VERB,NOUN	NA	NA
subj,NOUN,PRON	NA	NA
subj,ADJ,PRON	req-agree	req-agree
udep,ADJ,NOUN	NA	NA
mod@relcl,NOUN,VERB	req-agree	NA
udep,ADJ,PRON	NA	NA
mod,PRON,ADJ	req-agree	req-agree
appos,NOUN,PROPN	req-agree	req-agree
flat@name,PROPN,PROPN	req-agree	req-agree
mod,PRON,VERB	req-agree	req-agree
det,PROPN,DET	req-agree	req-agree
comp:obj,VERB,PROPN	req-agree	NA
parataxis,VERB,VERB	NA	NA
comp:obl,ADJ,PRON	NA	NA
unk@expl,VERB,PRON	NA	req-agree
appos,NOUN,NOUN	req-agree	NA
conj,NOUN,VERB	req-agree	NA
udep,VERB,NOUN	NA	NA
parataxis,ADJ,ADJ	NA	req-agree
comp:obl,VERB,PRON	NA	NA
conj,VERB,ADJ	req-agree	req-agree
conj,ADJ,VERB	req-agree	req-agree
conj,ADJ,ADJ	req-agree	req-agree
subj,AUX,PRON	req-agree	req-agree
comp:pred,AUX,ADJ	req-agree	req-agree
conj,AUX,VERB	req-agree	NA
conj,VERB,NOUN	NA	NA
parataxis,PRON,NOUN	NA	req-agree
subj,ADJ,NOUN	req-agree	req-agree
conj,ADJ,NOUN	NA	NA
det,ADJ,DET	req-agree	req-agree
vocative,ADJ,ADJ	req-agree	req-agree
udep,NOUN,PRON	NA	NA
mod,PROPN,ADJ	req-agree	NA
subj,ADJ,PROPN	req-agree	req-agree
mod@relcl,DET,ADJ	NA	NA
subj@pass,VERB,NOUN	req-agree	req-agree
mod,ADJ,VERB	NA	req-agree
mod,NOUN,PRON	NA	NA
subj,PRON,NOUN	req-agree	req-agree
parataxis,ADJ,NOUN	NA	NA
mod@relcl,PRON,AUX	NA	req-agree
comp:obl,VERB,PROPN	req-agree	NA
mod,PROPN,PROPN	req-agree	req-agree
subj,VERB,PROPN	req-agree	NA
comp:obl@agent,VERB,NOUN	NA	req-agree
vocative,NOUN,PROPN	req-agree	req-agree
parataxis,PROPN,VERB	NA	NA
subj,NOUN,PROPN	NA	NA
comp:obj,NOUN,PRON	NA	req-agree
parataxis,NOUN,ADJ	NA	NA
udep,VERB,PRON	NA	NA
appos,PROPN,NOUN	req-agree	NA
mod,PROPN,VERB	req-agree	req-agree
parataxis,PROPN,NOUN	NA	NA
conj,PROPN,NOUN	NA	NA
udep,VERB,PROPN	req-agree	req-agree
parataxis,VERB,ADJ	NA	NA
conj,VERB,DET	req-agree	NA
parataxis,ADJ,VERB	NA	NA
parataxis,NOUN,PROPN	NA	req-agree
comp:obj,VERB,ADJ	NA	NA
comp:pred,AUX,PRON	NA	req-agree
comp:obj,VERB,SYM	NA	NA
compound,NOUN,SYM	NA	req-agree
subj,NOUN,ADJ	req-agree	req-agree
comp:obj,VERB,VERB	NA	NA
subj,PROPN,PROPN	req-agree	req-agree
parataxis,PROPN,PROPN	req-agree	req-agree
mod,VERB,ADJ	req-agree	NA
udep,VERB,VERB	NA	NA
flat@name,NOUN,PROPN	NA	req-agree
parataxis,AUX,VERB	NA	NA
subj,AUX,PROPN	req-agree	req-agree
comp:pred,AUX,NOUN	req-agree	req-agree
appos,PROPN,PROPN	req-agree	req-agree
orphan,VERB,VERB	req-agree	NA
mod@relcl,PROPN,VERB	NA	NA
orphan,NOUN,PROPN	NA	req-agree
mod@relcl,NOUN,ADJ	req-agree	req-agree
parataxis,VERB,AUX	NA	NA
mod,ADJ,PROPN	req-agree	NA
mod,NOUN,AUX	NA	req-agree
parataxis,ADJ,PROPN	req-agree	req-agree
mod,VERB,NOUN	NA	req-agree
udep,NOUN,NOUN	NA	req-agree
dislocated,VERB,NOUN	NA	req-agree
mod,ADJ,ADJ	req-agree	req-agree
comp:aux@pass,AUX,VERB	req-agree	req-agree
subj@pass,AUX,NOUN	req-agree	req-agree
subj@pass,VERB,DET	req-agree	req-agree
subj,VERB,ADJ	req-agree	req-agree
comp:obl,VERB,DET	NA	req-agree
comp:obj,ADJ,AUX	NA	NA
comp:obl,ADJ,NOUN	NA	req-agree
subj,PRON,PROPN	req-agree	req-agree
comp:pred,PRON,NOUN	req-agree	req-agree
parataxis,NOUN,PRON	NA	req-agree
unk@fixed,PRON,VERB	req-agree	req-agree
comp:obj,PRON,VERB	NA	req-agree
comp:obj,PRON,NOUN	NA	NA
conj,VERB,PRON	NA	req-agree
orphan,PRON,DET	req-agree	NA
comp:obj,VERB,AUX	NA	NA
comp:obj,NOUN,NOUN	NA	req-agree
mod,NOUN,DET	req-agree	req-agree
subj,DET,NOUN	req-agree	req-agree
parataxis,PRON,VERB	NA	req-agree
conj,PRON,VERB	req-agree	req-agree
subj,PRON,PRON	req-agree	req-agree
conj,PRON,NOUN	NA	req-agree
orphan,PRON,PRON	req-agree	req-agree
unk@fixed,PRON,ADJ	req-agree	req-agree
comp:obj,VERB,DET	NA	NA
vocative,VERB,PROPN	req-agree	req-agree
compound,NOUN,NOUN	NA	NA
orphan,NOUN,PRON	NA	NA
comp:obl@agent,VERB,PRON	req-agree	NA
subj,PROPN,NOUN	req-agree	NA
conj,VERB,PROPN	req-agree	NA
conj,NOUN,PROPN	NA	req-agree
det,VERB,DET	req-agree	req-agree
mod,VERB,VERB	req-agree	NA
comp:obl,NOUN,NOUN	NA	NA
conj,NOUN,ADJ	req-agree	req-agree
list,PROPN,NOUN	NA	req-agree
list,PROPN,PROPN	req-agree	req-agree
mod,DET,ADJ	req-agree	req-agree
comp:pred,VERB,VERB	req-agree	NA
comp:pred,VERB,PRON	NA	req-agree
comp:obj,PRON,DET	NA	req-agree
mod@relcl,NOUN,AUX	NA	req-agree
dislocated,PRON,NOUN	NA	req-agree
comp:pred,AUX,DET	NA	req-agree
subj,VERB,DET	req-agree	req-agree
parataxis,PRON,PRON	NA	req-agree
conj,PRON,PROPN	req-agree	req-agree
parataxis,AUX,PRON	NA	req-agree
conj,NOUN,PRON	NA	NA
unk@fixed,PRON,PRON	req-agree	req-agree
comp:obl,PROPN,PRON	NA	req-agree
unk@fixed,NOUN,NOUN	NA	req-agree
parataxis,PRON,PROPN	NA	req-agree
flat,DET,DET	req-agree	req-agree
flat,PRON,PRON	req-agree	req-agree
comp:pred,VERB,NOUN	req-agree	req-agree
conj,VERB,AUX	req-agree	req-agree
conj,PROPN,ADJ	req-agree	NA
subj,DET,PRON	req-agree	NA
comp:obl,NOUN,ADJ	NA	NA
comp:obl,PRON,PRON	NA	NA
parataxis,AUX,NOUN	NA	req-agree
conj,PROPN,PRON	req-agree	req-agree
comp:obj,ADJ,NOUN	NA	NA
conj,DET,DET	req-agree	req-agree
vocative,NOUN,NOUN	NA	NA
mod,NOUN,NUM	NA	req-agree
comp:obl,NOUN,PRON	NA	req-agree
parataxis,VERB,PRON	NA	req-agree
vocative,ADJ,PROPN	req-agree	req-agree
parataxis,AUX,PROPN	req-agree	NA
comp:pred,AUX,PROPN	req-agree	req-agree
subj,ADJ,ADJ	req-agree	req-agree
compound,NOUN,PROPN	req-agree	req-agree
mod,NOUN,SYM	NA	NA
