rel,head-pos,child-pos	tree-label	gold-label
subj,AUX,ADJ	NA	req-agree
comp:pred,AUX,NOUN	NA	NA
conj,NOUN,NOUN	NA	NA
mod,NOUN,ADJ	NA	req-agree
subj,ADJ,NOUN	NA	NA
conj,ADJ,ADJ	NA	NA
det,VERB,DET	NA	req-agree
mod,NOUN,VERB	NA	NA
comp:pred,AUX,ADJ	NA	req-agree
conj,ADJ,AUX	NA	NA
subj,AUX,VERB	NA	req-agree
det,NOUN,DET	NA	req-agree
conj,ADJ,VERB	NA	NA
subj@pass,VERB,NOUN	NA	NA
conj,VERB,AUX	NA	NA
comp:obj,VERB,ADJ	NA	NA
subj,VERB,PRON	NA	req-agree
mod,NOUN,NOUN	NA	NA
det,NOUN,PRON	NA	NA
comp:obj,VERB,PRON	NA	NA
comp:obj,VERB,NOUN	NA	NA
conj,VERB,NOUN	NA	NA
subj,VERB,ADJ	NA	req-agree
mod,ADJ,NOUN	NA	NA
subj,VERB,NOUN	NA	req-agree
conj,VERB,VERB	NA	NA
subj@pass,VERB,ADJ	NA	req-agree
mod,ADJ,VERB	NA	NA
comp:obl,VERB,PRON	NA	NA
vocative,VERB,NOUN	NA	NA
udep,VERB,NOUN	NA	NA
vocative,VERB,PRON	NA	req-agree
mod,PRON,VERB	NA	NA
dislocated,VERB,ADJ	NA	req-agree
comp:obl,VERB,NOUN	NA	NA
comp:pred,AUX,VERB	NA	req-agree
subj,AUX,NOUN	NA	req-agree
subj,VERB,PROPN	NA	req-agree
comp:obj,VERB,VERB	NA	NA
mod,VERB,VERB	NA	NA
comp:pred,VERB,ADJ	NA	NA
det,PRON,PRON	NA	req-agree
mod,NOUN,PRON	NA	NA
mod,VERB,ADJ	NA	NA
vocative,AUX,NOUN	NA	NA
conj,AUX,VERB	NA	NA
subj,AUX,PRON	NA	req-agree
parataxis,VERB,VERB	NA	NA
conj,PROPN,PROPN	NA	req-agree
det,ADJ,DET	NA	req-agree
mod,NOUN,PROPN	NA	NA
comp:pred,VERB,VERB	NA	NA
comp:pred,VERB,NOUN	NA	NA
subj,VERB,VERB	NA	req-agree
appos,PROPN,NOUN	NA	NA
mod,NOUN,NUM	NA	req-agree
orphan,NOUN,NOUN	NA	req-agree
conj,NOUN,VERB	NA	NA
mod,ADJ,ADJ	NA	NA
udep,VERB,PRON	NA	NA
vocative,VERB,VERB	NA	req-agree
comp:obl,PRON,PRON	NA	NA
conj,PRON,PRON	NA	NA
vocative,PRON,PROPN	NA	req-agree
subj@pass,AUX,NOUN	NA	req-agree
unk@expl,VERB,PRON	NA	NA
conj,NOUN,ADJ	NA	req-agree
subj@pass,AUX,ADJ	NA	req-agree
mod,ADJ,AUX	NA	NA
dislocated,ADJ,PRON	NA	req-agree
appos,PRON,NOUN	NA	NA
appos,PRON,ADJ	NA	req-agree
mod,VERB,AUX	NA	NA
appos,NOUN,NOUN	NA	NA
