rel,head-pos,child-pos	tree-label	gold-label
comp:aux,AUX,VERB	req-agree	NA
udep,AUX,NOUN	NA	NA
udep,VERB,NOUN	NA	NA
conj,NOUN,PRON	req-agree	NA
det,NOUN,PRON	req-agree	NA
conj,PRON,NOUN	NA	NA
subj,VERB,PRON	req-agree	req-agree
mod@relcl,NOUN,VERB	NA	NA
udep,VERB,PROPN	req-agree	NA
comp:obj,VERB,NOUN	NA	NA
comp:obj@x,VERB,VERB	req-agree	NA
mod@poss,NOUN,NOUN	req-agree	NA
mod,NOUN,VERB	req-agree	req-agree
compound@nn,NOUN,NOUN	NA	NA
mod,NOUN,NOUN	req-agree	NA
udep,AUX,PROPN	NA	NA
subj@cop,NOUN,PRON	req-agree	NA
mod,NOUN,ADJ	req-agree	req-agree
subj@cop,AUX,NOUN	req-agree	NA
comp:pred,AUX,ADJ	req-agree	req-agree
conj,AUX,AUX	req-agree	NA
conj,AUX,VERB	req-agree	NA
mod@poss,ADJ,NOUN	req-agree	NA
mod@gobj,NOUN,NOUN	NA	NA
comp:pred,AUX,NOUN	req-agree	NA
conj,NOUN,NOUN	req-agree	NA
comp:pred,AUX,VERB	req-agree	req-agree
comp:obj,VERB,PRON	req-agree	NA
comp:aux@pass,AUX,VERB	req-agree	req-agree
subj,VERB,NOUN	req-agree	NA
conj,VERB,VERB	req-agree	NA
conj,PROPN,NOUN	NA	NA
comp:obj,VERB,VERB	NA	NA
conj,VERB,AUX	req-agree	NA
mod,NOUN,NUM	req-agree	req-agree
comp:pred,AUX,PRON	req-agree	NA
comp:obj,VERB,AUX	req-agree	NA
subj@cop,AUX,VERB	req-agree	req-agree
comp:obj,VERB,PROPN	req-agree	req-agree
comp:pred,AUX,PROPN	req-agree	NA
subj,VERB,PROPN	req-agree	req-agree
mod,ADJ,PRON	NA	NA
flat@name,PROPN,PROPN	req-agree	req-agree
mod@relcl,NOUN,AUX	NA	NA
udep,VERB,PRON	NA	NA
conj,ADJ,ADJ	req-agree	req-agree
parataxis,AUX,VERB	NA	NA
subj,AUX,PRON	req-agree	NA
mod@relcl,PRON,VERB	NA	req-agree
subj,AUX,NOUN	req-agree	NA
mod@poss,NOUN,PRON	NA	NA
unk@fixed,ADJ,NOUN	NA	req-agree
mod,VERB,VERB	req-agree	NA
subj@cop,AUX,PRON	req-agree	req-agree
comp:obj@x,ADJ,VERB	req-agree	req-agree
comp:pred@own,AUX,PRON	NA	NA
compound@nn,NOUN,VERB	req-agree	NA
mod@poss,NOUN,PROPN	req-agree	NA
appos,NOUN,NOUN	req-agree	NA
appos,NOUN,PROPN	req-agree	NA
appos,PROPN,ADJ	req-agree	req-agree
udep,AUX,PRON	NA	NA
conj,ADJ,VERB	req-agree	NA
udep,ADJ,NOUN	NA	NA
comp:aux,AUX,AUX	req-agree	NA
mod,AUX,VERB	req-agree	NA
comp:pred,VERB,ADJ	req-agree	NA
orphan,NOUN,PRON	req-agree	NA
conj,NOUN,AUX	req-agree	NA
comp:obj,VERB,ADJ	req-agree	NA
comp:pred@own,AUX,NOUN	NA	NA
conj,NOUN,VERB	req-agree	NA
comp:obj,NOUN,VERB	NA	req-agree
comp:obj,ADJ,AUX	req-agree	req-agree
orphan,NOUN,VERB	req-agree	req-agree
mod,ADJ,NOUN	NA	NA
mod,ADJ,VERB	NA	NA
mod,ADJ,ADJ	NA	NA
comp:pred,AUX,AUX	req-agree	req-agree
conj,AUX,ADJ	req-agree	req-agree
mod,NOUN,PRON	NA	NA
parataxis,NOUN,AUX	NA	NA
vocative,AUX,NOUN	req-agree	NA
parataxis,AUX,AUX	NA	req-agree
mod,NOUN,PROPN	NA	NA
conj,PROPN,PROPN	req-agree	NA
subj@cop,ADJ,VERB	req-agree	req-agree
mod@gsubj,NOUN,PRON	req-agree	NA
udep,AUX,NUM	NA	req-agree
comp:pred@ds,VERB,NOUN	NA	NA
parataxis,NOUN,VERB	NA	req-agree
subj@cop,NOUN,NOUN	NA	NA
mod@poss,PROPN,PROPN	req-agree	req-agree
comp:pred,VERB,VERB	req-agree	NA
mod@relcl,VERB,AUX	NA	NA
mod,PROPN,NOUN	req-agree	req-agree
udep,AUX,ADJ	NA	NA
udep,NOUN,NOUN	NA	NA
udep,NOUN,PROPN	NA	req-agree
discourse,AUX,VERB	req-agree	req-agree
subj@cop,AUX,PROPN	req-agree	NA
conj,ADJ,AUX	req-agree	req-agree
mod,PROPN,ADJ	req-agree	NA
goeswith,NOUN,NOUN	NA	req-agree
conj,NOUN,ADJ	req-agree	req-agree
