rel,head-pos,child-pos	tree-label	gold-label
comp:pred,AUX,PRON	NA	req-agree
parataxis,AUX,AUX	NA	NA
conj,VERB,VERB	req-agree	req-agree
parataxis,VERB,AUX	req-agree	NA
unk@expl,VERB,PRON	req-agree	req-agree
unk@expl,AUX,PRON	NA	req-agree
comp:obj,VERB,AUX	NA	NA
parataxis,AUX,VERB	req-agree	NA
parataxis,VERB,VERB	req-agree	NA
comp:obj,VERB,PRON	req-agree	NA
mod,VERB,AUX	NA	req-agree
subj@pass,VERB,AUX	NA	req-agree
conj,AUX,VERB	req-agree	req-agree
conj,VERB,AUX	req-agree	NA
conj,AUX,AUX	req-agree	NA
comp:obl,VERB,PRON	NA	NA
subj,VERB,PRON	req-agree	req-agree
subj,AUX,PRON	req-agree	req-agree
mod@relcl,VERB,AUX	NA	req-agree
subj,AUX,AUX	req-agree	req-agree
mod,AUX,AUX	NA	req-agree
