rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,ADJ	NA	req-agree
comp:obj,VERB,NOUN	NA	NA
conj,NOUN,NOUN	NA	NA
udep,VERB,PROPN	NA	NA
mod,NOUN,PRON	NA	NA
udep,VERB,NOUN	NA	NA
subj,VERB,NOUN	NA	NA
appos,NOUN,PROPN	NA	NA
flat,PROPN,PROPN	NA	req-agree
conj,VERB,VERB	NA	NA
subj,VERB,PRON	NA	req-agree
udep,VERB,PRON	NA	NA
det,NOUN,DET	NA	req-agree
parataxis,NOUN,NOUN	NA	NA
mod,NOUN,PROPN	NA	NA
appos,PROPN,PROPN	NA	req-agree
subj@cop,AUX,PRON	NA	req-agree
udep,AUX,NOUN	NA	NA
mod@relcl,PRON,AUX	NA	req-agree
mod,NOUN,NUM	NA	NA
mod,NOUN,NOUN	NA	NA
mod@relcl,NOUN,VERB	NA	NA
subj,AUX,NOUN	NA	NA
comp:obj,VERB,PRON	NA	NA
udep,VERB,ADJ	NA	NA
subj,AUX,PRON	NA	req-agree
comp:pred,AUX,PRON	NA	NA
subj@cop,AUX,NOUN	NA	NA
parataxis,VERB,VERB	NA	NA
comp:obj,ADJ,NOUN	NA	NA
udep,ADJ,PROPN	NA	NA
conj,ADJ,ADJ	NA	req-agree
comp:pred,AUX,NOUN	NA	NA
udep,NOUN,NOUN	NA	NA
udep,AUX,PRON	NA	NA
parataxis,AUX,VERB	NA	NA
comp:pred,AUX,ADJ	NA	req-agree
comp:pred,AUX,PROPN	NA	NA
conj,PROPN,NOUN	NA	NA
conj,PROPN,PROPN	NA	req-agree
comp:pred,VERB,ADJ	NA	NA
subj,VERB,PROPN	NA	NA
subj@cop,AUX,PROPN	NA	req-agree
udep,AUX,PROPN	NA	NA
udep,AUX,NUM	NA	req-agree
subj,AUX,PROPN	NA	NA
mod@relcl,PRON,VERB	NA	NA
conj,AUX,VERB	NA	NA
mod,NUM,NUM	NA	req-agree
conj,AUX,AUX	NA	NA
subj,VERB,ADJ	NA	req-agree
udep,NOUN,PROPN	NA	NA
udep,ADJ,NOUN	NA	NA
comp:pred,ADJ,NOUN	NA	NA
mod,PROPN,ADJ	NA	NA
subj@cop,ADJ,NOUN	NA	req-agree
comp:obj,VERB,VERB	NA	NA
mod,VERB,VERB	NA	NA
mod,VERB,NOUN	NA	NA
conj,NOUN,VERB	NA	NA
udep,ADJ,PRON	NA	NA
comp:obj,VERB,ADJ	NA	NA
mod,PROPN,NOUN	NA	NA
parataxis,AUX,AUX	NA	req-agree
conj,NOUN,ADJ	NA	NA
conj,VERB,AUX	NA	NA
parataxis,VERB,NOUN	NA	NA
comp:pred,VERB,NOUN	NA	NA
mod@relcl,NOUN,AUX	NA	NA
mod@relcl,NOUN,ADJ	NA	req-agree
mod,ADJ,PROPN	NA	req-agree
appos,NOUN,NOUN	NA	NA
parataxis,NOUN,NUM	NA	NA
det,PROPN,DET	NA	NA
mod,NOUN,X	NA	NA
flat,X,X	NA	req-agree
mod,PROPN,PROPN	NA	NA
parataxis,AUX,NOUN	NA	NA
det,PRON,DET	NA	req-agree
flat,PROPN,NOUN	NA	req-agree
mod,PRON,PRON	NA	NA
mod,AUX,NOUN	NA	NA
mod,PRON,ADJ	NA	NA
udep,AUX,ADJ	NA	NA
conj,PRON,AUX	NA	NA
udep,NOUN,PRON	NA	NA
orphan,NOUN,NOUN	NA	NA
parataxis,PROPN,NOUN	NA	req-agree
parataxis,PROPN,PROPN	NA	req-agree
parataxis,PROPN,VERB	NA	NA
parataxis,NOUN,AUX	NA	NA
subj@cop,NOUN,NOUN	NA	NA
parataxis,VERB,AUX	NA	NA
mod@relcl,ADJ,VERB	NA	req-agree
parataxis,AUX,ADJ	NA	req-agree
mod,AUX,AUX	NA	NA
parataxis,AUX,PROPN	NA	req-agree
mod,ADJ,VERB	NA	req-agree
unk,VERB,ADJ	NA	req-agree
subj,VERB,VERB	NA	NA
conj,VERB,PRON	NA	NA
appos,NOUN,X	NA	req-agree
flat,X,NOUN	NA	req-agree
conj,AUX,ADJ	NA	req-agree
subj@cop,AUX,ADJ	NA	NA
conj,DET,PRON	NA	req-agree
mod,NOUN,VERB	NA	NA
conj,VERB,ADJ	NA	req-agree
orphan,ADJ,ADJ	NA	req-agree
appos,PRON,NOUN	NA	NA
comp:pred,ADJ,VERB	NA	req-agree
mod,ADJ,NUM	NA	req-agree
mod,NOUN,AUX	NA	NA
unk,NOUN,NOUN	NA	NA
parataxis,NOUN,PROPN	NA	NA
det,ADJ,DET	NA	NA
mod,PROPN,NUM	NA	req-agree
comp:pred,VERB,PRON	NA	NA
conj,NOUN,PROPN	NA	NA
subj@cop,ADJ,PRON	NA	req-agree
comp:obj,VERB,PROPN	NA	NA
mod@relcl,NOUN,NOUN	NA	NA
subj@cop,NOUN,PROPN	NA	req-agree
udep,PROPN,NOUN	NA	req-agree
mod,PROPN,PRON	NA	req-agree
orphan,NOUN,PROPN	NA	NA
conj,VERB,NOUN	NA	NA
mod,NUM,PRON	NA	NA
subj,VERB,NUM	NA	NA
conj,PROPN,PRON	NA	NA
conj,PRON,PRON	NA	req-agree
parataxis,VERB,PRON	NA	NA
conj,ADJ,AUX	NA	NA
mod@relcl,NOUN,PRON	NA	req-agree
parataxis,ADJ,NOUN	NA	NA
flat,NOUN,NOUN	NA	req-agree
comp:obj,VERB,AUX	NA	NA
det,NUM,DET	NA	NA
appos,PROPN,NUM	NA	req-agree
mod,NUM,NOUN	NA	NA
comp:obj,ADJ,PRON	NA	NA
comp:obj,ADJ,PROPN	NA	req-agree
mod@relcl,PROPN,VERB	NA	req-agree
mod,PRON,NOUN	NA	NA
vocative,AUX,PROPN	NA	req-agree
conj,PRON,ADJ	NA	req-agree
mod,VERB,ADJ	NA	req-agree
vocative,VERB,PROPN	NA	req-agree
mod,AUX,VERB	NA	NA
vocative,VERB,NOUN	NA	req-agree
subj@cop,NOUN,PRON	NA	req-agree
mod,PRON,PROPN	NA	req-agree
mod@relcl,PROPN,AUX	NA	NA
flat,PROPN,NUM	NA	req-agree
parataxis,NOUN,VERB	NA	NA
appos,PROPN,NOUN	NA	NA
subj@cop,VERB,NOUN	NA	req-agree
mod,AUX,ADJ	NA	req-agree
mod,NOUN,ADV	NA	NA
compound,NUM,NUM	NA	req-agree
mod,VERB,PROPN	NA	req-agree
conj,PRON,NOUN	NA	req-agree
subj@cop,AUX,NUM	NA	req-agree
comp:obj,NOUN,NOUN	NA	NA
subj,NOUN,PROPN	NA	req-agree
comp:obj,VERB,NUM	NA	req-agree
conj,NOUN,AUX	NA	NA
udep,ADJ,ADJ	NA	req-agree
conj,NUM,ADJ	NA	req-agree
subj,NOUN,NOUN	NA	req-agree
conj,ADJ,NOUN	NA	NA
mod,ADJ,ADJ	NA	req-agree
comp:obj,NOUN,NUM	NA	req-agree
flat,NOUN,PROPN	NA	req-agree
subj@cop,NOUN,NUM	NA	req-agree
subj@cop,ADJ,ADJ	NA	req-agree
conj,AUX,NOUN	NA	NA
udep,NUM,NUM	NA	req-agree
conj,NOUN,NUM	NA	req-agree
conj,NUM,VERB	NA	req-agree
conj,VERB,PROPN	NA	NA
orphan,PROPN,NOUN	NA	req-agree
comp:pred,AUX,NUM	NA	req-agree
conj,ADJ,VERB	NA	NA
mod,AUX,PROPN	NA	req-agree
conj,NUM,NUM	NA	req-agree
comp:pred,NOUN,ADJ	NA	req-agree
mod,SYM,NUM	NA	req-agree
udep,VERB,NUM	NA	NA
mod,VERB,AUX	NA	NA
mod,PRON,NUM	NA	NA
conj,AUX,NUM	NA	req-agree
mod,NUM,ADJ	NA	NA
udep,NUM,PROPN	NA	req-agree
comp:pred,NOUN,NOUN	NA	req-agree
parataxis,PROPN,NUM	NA	req-agree
parataxis,NOUN,ADJ	NA	NA
comp:pred,VERB,PROPN	NA	req-agree
subj,AUX,ADJ	NA	req-agree
udep,ADJ,NUM	NA	req-agree
det,DET,DET	NA	req-agree
comp:obj,ADJ,ADJ	NA	NA
mod,PRON,AUX	NA	req-agree
comp:pred,PROPN,NOUN	NA	req-agree
