rel,head-pos,child-pos	tree-label	gold-label
mod,NOUN,VERB	NA	NA
mod,VERB,AUX	NA	NA
comp:aux,AUX,VERB	req-agree	NA
comp:obl,VERB,PRON	NA	NA
det,NOUN,DET	req-agree	NA
comp:obj,VERB,NOUN	NA	NA
mod,NOUN,ADJ	req-agree	req-agree
conj,NOUN,NOUN	req-agree	NA
comp:pred,AUX,NOUN	req-agree	req-agree
mod,NOUN,NUM	req-agree	NA
mod,NOUN,NOUN	NA	NA
conj,AUX,VERB	req-agree	NA
det,NUM,DET	req-agree	NA
subj,VERB,NOUN	req-agree	NA
conj,VERB,VERB	req-agree	NA
comp:obj,VERB,PRON	NA	NA
subj,AUX,PRON	req-agree	NA
comp:pred,AUX,ADJ	req-agree	NA
subj,AUX,NOUN	req-agree	req-agree
conj,AUX,NOUN	NA	req-agree
conj,VERB,AUX	NA	NA
mod,VERB,DET	NA	req-agree
comp:pred,VERB,NOUN	req-agree	NA
parataxis,VERB,NOUN	NA	req-agree
mod,VERB,VERB	NA	NA
unk@fixed,VERB,NOUN	req-agree	NA
subj,VERB,PRON	req-agree	NA
subj@pass,VERB,NOUN	req-agree	NA
det,ADJ,PRON	req-agree	req-agree
mod,AUX,VERB	NA	NA
udep,VERB,NOUN	req-agree	NA
comp:pred,VERB,ADJ	req-agree	NA
compound,NUM,NUM	NA	req-agree
conj,NOUN,ADJ	req-agree	req-agree
conj,ADJ,NOUN	req-agree	NA
conj,ADJ,ADJ	req-agree	req-agree
appos,NOUN,NOUN	req-agree	NA
unk@expl,VERB,PRON	req-agree	NA
mod@tmod,VERB,NOUN	NA	req-agree
mod@tcl,VERB,VERB	NA	req-agree
comp:aux@pass,AUX,VERB	req-agree	NA
udep,VERB,PRON	NA	NA
subj@pass,AUX,NOUN	req-agree	req-agree
conj,NOUN,PRON	req-agree	NA
comp:obj,VERB,VERB	NA	NA
det,PROPN,DET	req-agree	NA
mod,NOUN,PROPN	req-agree	NA
det,ADJ,DET	req-agree	req-agree
parataxis,VERB,VERB	NA	req-agree
mod,PRON,VERB	NA	NA
parataxis,AUX,NOUN	NA	req-agree
parataxis,AUX,VERB	NA	NA
parataxis,VERB,AUX	NA	req-agree
comp:obl,NOUN,PRON	NA	req-agree
unk@expl,AUX,PRON	req-agree	NA
subj,NOUN,PRON	NA	req-agree
comp:obj,NOUN,VERB	NA	req-agree
conj,NOUN,VERB	req-agree	req-agree
comp:pred,AUX,VERB	req-agree	NA
parataxis,NOUN,VERB	NA	NA
unk@fixed,ADJ,NOUN	NA	req-agree
comp:aux,AUX,AUX	NA	NA
subj@pass,AUX,NUM	req-agree	req-agree
mod,NOUN,AUX	NA	NA
conj,NUM,NUM	req-agree	req-agree
conj,VERB,ADJ	req-agree	req-agree
mod,PRON,AUX	NA	req-agree
flat,NOUN,ADJ	req-agree	NA
udep,ADJ,NOUN	req-agree	NA
flat,NOUN,PROPN	req-agree	req-agree
unk@fixed,NOUN,ADJ	req-agree	req-agree
goeswith,NUM,NUM	req-agree	req-agree
conj,VERB,NOUN	req-agree	req-agree
comp:obj,NOUN,NOUN	NA	NA
conj,AUX,AUX	NA	NA
comp:pred,VERB,VERB	req-agree	NA
comp:obj,ADJ,NOUN	NA	req-agree
mod,ADJ,ADJ	req-agree	NA
det,PRON,DET	req-agree	NA
mod,NOUN,PRON	NA	NA
flat,NOUN,NOUN	req-agree	NA
subj,AUX,VERB	NA	NA
comp:pred,AUX,DET	NA	NA
subj,AUX,NUM	NA	req-agree
comp:obj,AUX,NOUN	NA	NA
unk@fixed,ADJ,DET	req-agree	req-agree
unk@fixed,DET,NOUN	req-agree	NA
det,DET,DET	req-agree	NA
unk@fixed,NOUN,NOUN	req-agree	NA
