rel,head-pos,child-pos	tree-label	gold-label
subj,AUX,NOUN	req-agree	req-agree
conj,NOUN,NOUN	req-agree	NA
parataxis,PROPN,AUX	NA	NA
conj,NOUN,PROPN	req-agree	NA
mod,NOUN,PROPN	NA	NA
comp:obj,VERB,NOUN	NA	NA
parataxis,VERB,VERB	NA	NA
subj,VERB,NOUN	req-agree	req-agree
comp:pred,AUX,NOUN	req-agree	req-agree
parataxis,AUX,VERB	NA	NA
conj,VERB,AUX	NA	NA
mod@relcl,NOUN,AUX	req-agree	NA
udep,AUX,NOUN	NA	NA
mod@relcl,NOUN,VERB	NA	NA
mod,NOUN,NOUN	NA	NA
subj,VERB,PROPN	req-agree	NA
appos,NOUN,PROPN	req-agree	req-agree
udep,VERB,PROPN	NA	NA
unk@fixed,NOUN,NOUN	NA	NA
appos,NOUN,NOUN	req-agree	NA
conj,PROPN,NOUN	NA	NA
conj,PROPN,PROPN	req-agree	req-agree
udep,VERB,NOUN	NA	NA
conj,VERB,VERB	NA	NA
subj@pass,AUX,NOUN	req-agree	req-agree
mod,AUX,AUX	NA	req-agree
mod,VERB,NOUN	NA	req-agree
mod@poss,NOUN,PROPN	req-agree	req-agree
appos,PROPN,NOUN	NA	req-agree
comp:pred,VERB,NOUN	req-agree	NA
subj,AUX,PROPN	req-agree	NA
mod@relcl,PROPN,VERB	NA	req-agree
comp:obl,VERB,NOUN	NA	req-agree
mod,NOUN,VERB	NA	req-agree
parataxis,VERB,AUX	NA	NA
parataxis,VERB,NOUN	NA	NA
subj,AUX,VERB	NA	req-agree
parataxis,AUX,AUX	NA	NA
conj,AUX,AUX	NA	NA
comp:obj,VERB,AUX	NA	NA
parataxis,NOUN,VERB	NA	req-agree
parataxis,AUX,PROPN	req-agree	NA
mod,PROPN,NOUN	NA	NA
conj,AUX,VERB	NA	NA
mod,AUX,VERB	NA	NA
subj,VERB,AUX	NA	NA
subj@pass,AUX,VERB	req-agree	req-agree
flat,PROPN,PROPN	req-agree	NA
comp:pred,AUX,PROPN	NA	req-agree
comp:obj,VERB,VERB	NA	req-agree
udep,AUX,PROPN	NA	NA
flat,NOUN,PROPN	req-agree	req-agree
udep,NOUN,NOUN	NA	req-agree
compound@prt,VERB,NOUN	NA	NA
subj@pass,AUX,PROPN	req-agree	NA
mod,PROPN,PROPN	NA	req-agree
mod,VERB,VERB	NA	req-agree
parataxis,PROPN,NOUN	NA	req-agree
parataxis,AUX,NOUN	NA	NA
flat,PROPN,NOUN	NA	req-agree
mod,VERB,AUX	NA	req-agree
comp:obj,VERB,PROPN	NA	req-agree
conj,NOUN,AUX	NA	req-agree
mod,NOUN,AUX	NA	req-agree
