rel,head-pos,child-pos	tree-label	gold-label
det,NOUN,DET	req-agree	req-agree
subj,VERB,PRON	req-agree	req-agree
subj,VERB,NOUN	req-agree	req-agree
comp:pred,AUX,ADJ	req-agree	req-agree
subj,AUX,NOUN	req-agree	req-agree
comp:obj,VERB,NOUN	NA	NA
subj,AUX,PRON	req-agree	req-agree
mod,AUX,VERB	req-agree	NA
mod,VERB,VERB	req-agree	req-agree
mod,NOUN,ADJ	req-agree	req-agree
comp:obj@agent,VERB,NOUN	NA	req-agree
subj@expl,VERB,PRON	req-agree	req-agree
conj,NOUN,NOUN	NA	NA
conj,ADJ,ADJ	req-agree	req-agree
subj@pass,AUX,NOUN	req-agree	req-agree
comp:aux@pass,AUX,VERB	req-agree	req-agree
comp:pred,AUX,NOUN	req-agree	req-agree
conj,AUX,VERB	NA	req-agree
mod,NOUN,NOUN	NA	NA
conj,NOUN,PRON	NA	req-agree
conj,VERB,VERB	req-agree	req-agree
comp:obj@agent,AUX,NOUN	NA	req-agree
appos,NOUN,PROPN	NA	req-agree
flat@name,PROPN,PROPN	NA	req-agree
subj@expl,AUX,PRON	req-agree	req-agree
comp:aux@tense,AUX,VERB	req-agree	NA
comp:obj@agent,AUX,PROPN	NA	req-agree
det,PROPN,DET	req-agree	req-agree
comp:obj,VERB,PROPN	req-agree	req-agree
comp:obj@agent,VERB,PROPN	NA	req-agree
mod,NOUN,VERB	req-agree	req-agree
comp:pred,VERB,NOUN	req-agree	req-agree
comp:obj@pass,AUX,NOUN	NA	req-agree
mod@relcl,NOUN,AUX	NA	req-agree
comp:obj@pass,AUX,PROPN	NA	req-agree
subj,AUX,PROPN	req-agree	req-agree
mod@relcl,NOUN,VERB	req-agree	NA
mod,AUX,NOUN	NA	NA
det,ADJ,DET	req-agree	req-agree
subj,VERB,PROPN	req-agree	req-agree
mod,AUX,ADJ	req-agree	req-agree
comp:pred,VERB,ADJ	req-agree	req-agree
mod,VERB,NOUN	NA	NA
comp:obj,VERB,VERB	NA	NA
subj@pass,AUX,PRON	req-agree	req-agree
det,PRON,DET	req-agree	req-agree
conj,VERB,AUX	NA	req-agree
conj,AUX,ADJ	req-agree	req-agree
conj,ADJ,VERB	req-agree	req-agree
mod,VERB,AUX	NA	NA
mod,AUX,AUX	NA	NA
conj,DET,DET	NA	NA
subj,VERB,DET	NA	req-agree
subj@caus,AUX,PRON	NA	req-agree
comp:aux@tense,AUX,AUX	NA	req-agree
comp:obl,VERB,PRON	NA	NA
mod,NOUN,PROPN	NA	req-agree
flat@name,NOUN,PROPN	NA	req-agree
conj,PROPN,PROPN	NA	req-agree
mod,PROPN,ADJ	req-agree	req-agree
comp:cleft,AUX,AUX	NA	req-agree
conj,NOUN,VERB	NA	req-agree
mod,PRON,VERB	req-agree	req-agree
subj@pass,AUX,PROPN	req-agree	NA
comp:pred,AUX,PROPN	req-agree	req-agree
comp:obj,VERB,PRON	NA	NA
det,NOUN,ADP	req-agree	req-agree
comp:obj@agent,VERB,PRON	NA	req-agree
comp:cleft,AUX,VERB	NA	req-agree
comp:pred,VERB,PROPN	req-agree	req-agree
mod@relcl,PRON,AUX	NA	req-agree
comp:obj,VERB,DET	NA	req-agree
mod@relcl,DET,AUX	NA	req-agree
comp:obj,VERB,AUX	NA	req-agree
subj,AUX,ADJ	req-agree	req-agree
